Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2020-09-30, préliminaires par la suite
Station:        060102         Petit Saguenay - à 1 km en aval de la confluence avec la décharge du lac à David                                                               
Bassin versant: 433 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 5' 30" // -70° 1' 47"

Date de création du fichier: 2021-04-27 06:53
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
060102         1998/10/20          6.028          MJ
060102         1998/10/21          6.080          MJ
060102         1998/10/22          5.828          MJ
060102         1998/10/23          5.540          MJ
060102         1998/10/24          5.431          MJ
060102         1998/10/25          5.230          MJ
060102         1998/10/26          5.023          MJ
060102         1998/10/27          4.936          MJ
060102         1998/10/28          5.188          MJ
060102         1998/10/29          5.399          MJ
060102         1998/10/30          5.417          MJ
060102         1998/10/31          7.281          MJ
060102         1998/11/01          10.18          MJ
060102         1998/11/02          10.31          MJ
060102         1998/11/03          9.413          MJ
060102         1998/11/04          8.827          MJ
060102         1998/11/05          8.518          MJ
060102         1998/11/06          8.066          MJ
060102         1998/11/07          7.606          MJ
060102         1998/11/08          7.200          MJ
060102         1998/11/09          6.823          MJ
060102         1998/11/10          6.472          MJ
060102         1998/11/11          6.460          MJ
060102         1998/11/12          6.499          MJ
060102         1998/11/13          6.033          MJ
060102         1998/11/14          5.400          MJ
060102         1998/11/15          4.679          R
060102         1998/11/16          4.465          R
060102         1998/11/17          4.343          R
060102         1998/11/18          4.290          R
060102         1998/11/19          4.180          R
060102         1998/11/20          4.093          R
060102         1998/11/21          4.015          R
060102         1998/11/22          3.929          R
060102         1998/11/23          3.852          R
060102         1998/11/24          3.802          R
