Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2008-09-19
Station:        060202         Saint-Jean - en amont de la mini-centrale                                                                                                      
Bassin versant: 651 km²        Régime: Influencé journellement                           
Coordonnées:    (NAD83) 48° 12' 31" // -70° 17' 1"

Date de création du fichier: 2012-06-24 07:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
060202         1996/11/21          12.40          MC
060202         1996/11/22          11.93          MC
060202         1996/11/23          11.17          MC
060202         1996/11/24          9.633          MC
060202         1996/11/25          9.077          R
060202         1996/11/26          8.613          R
060202         1996/11/27          8.216          R
060202         1996/11/28          7.867          R
060202         1996/11/29          7.582          R
060202         1996/11/30          7.348          R
060202         1996/12/01          7.329          R
060202         1996/12/02          8.056          R
060202         1996/12/03          7.949          R
060202         1996/12/04          7.390          R
060202         1996/12/05          6.992          R
060202         1996/12/06          6.686          R
060202         1996/12/07          6.367          R
060202         1996/12/08          6.082          R
060202         1996/12/09          5.869          R
060202         1996/12/10          5.677          R
060202         1996/12/11          5.461          R
060202         1996/12/12          5.299          R
060202         1996/12/13          5.147          R
060202         1996/12/14          5.012          R
060202         1996/12/15          4.880          R
060202         1996/12/16          4.772          R
060202         1996/12/17          4.652          R
060202         1996/12/18          4.562          R
060202         1996/12/19          4.464          R
060202         1996/12/20          4.357          R
060202         1996/12/21          4.253          R
060202         1996/12/22          4.166          R
060202         1996/12/23          4.064          R
060202         1996/12/24          3.961          R
060202         1996/12/25          3.869          R
060202         1996/12/26          3.778          R
060202         1996/12/27          3.701          R
060202         1996/12/28          3.634          R
060202         1996/12/29          3.565          R
060202         1996/12/30          3.506          R
060202         1996/12/31          3.453          R
060202         1997/01/01          3.399          R
060202         1997/01/02          3.330          R
060202         1997/01/03          3.268          R
060202         1997/01/04          3.209          R
060202         1997/01/05          3.160          R
060202         1997/01/06          3.120          R
060202         1997/01/07          3.074          R
060202         1997/01/08          3.044          R
060202         1997/01/09          3.002          R
060202         1997/01/10          2.983          R
060202         1997/01/11          2.956          R
060202         1997/01/12          2.925          R
060202         1997/01/13          2.892          R
060202         1997/01/14          2.860          R
060202         1997/01/15          2.827          R
060202         1997/01/16          2.787          R
060202         1997/01/17          2.757          R
060202         1997/01/18          2.728          R
060202         1997/01/19          2.697          R
060202         1997/01/20          2.672          R
060202         1997/01/21          2.646          R
060202         1997/01/22          2.621          R
060202         1997/01/23          2.599          R
060202         1997/01/24          2.571          R
060202         1997/01/25          2.552          R
060202         1997/01/26          2.528          R
060202         1997/01/27          2.506          R
060202         1997/01/28          2.486          R
060202         1997/01/29          2.453          R
060202         1997/01/30          2.444          R
060202         1997/01/31          2.421          R
060202         1997/02/01          2.396          R
060202         1997/02/02          2.383          R
060202         1997/02/03          2.362          R
060202         1997/02/04          2.338          R
060202         1997/02/05          2.318          R
060202         1997/02/06          2.298          R
060202         1997/02/07          2.300          R
060202         1997/02/08          2.268          R
060202         1997/02/09          2.250          R
060202         1997/02/10          2.237          R
060202         1997/02/11          2.222          R
060202         1997/02/12          2.208          R
060202         1997/02/13          2.193          R
060202         1997/02/14          2.181          R
060202         1997/02/15          2.168          R
060202         1997/02/16          2.158          R
060202         1997/02/17          2.145          R
060202         1997/02/18          2.131          R
060202         1997/02/19          2.122          R
060202         1997/02/20          2.114          R
060202         1997/02/21          2.102          R
060202         1997/02/22          2.086          R
060202         1997/02/23          2.075          R
060202         1997/02/24          2.067          R
060202         1997/02/25          2.060          R
060202         1997/02/26          2.052          R
060202         1997/02/27          2.046          R
060202         1997/02/28          2.044          R
060202         1997/03/01          2.097          R
060202         1997/03/02          2.545          R
060202         1997/03/03          2.419          R
060202         1997/03/04          2.244          R
060202         1997/03/05          2.152          R
060202         1997/03/06          2.097          R
060202         1997/03/07          2.060          R
060202         1997/03/08          2.034          R
060202         1997/03/09          2.009          R
060202         1997/03/10          1.989          R
060202         1997/03/11          1.983          R
060202         1997/03/12          1.975          R
060202         1997/03/13          1.955          R
060202         1997/03/14          1.949          R
060202         1997/03/15          1.952          R
060202         1997/03/16          1.945          R
060202         1997/03/17          1.935          R
060202         1997/03/18          1.930          R
060202         1997/03/19          1.927          R
060202         1997/03/20          1.923          R
060202         1997/03/21          1.915          R
060202         1997/03/22          1.912          R
060202         1997/03/23          1.913          R
060202         1997/03/24          1.912          R
060202         1997/03/25          1.911          R
060202         1997/03/26          1.916          R
060202         1997/03/27          2.033          R
060202         1997/03/28          2.234          R
060202         1997/03/29          2.482          R
060202         1997/03/30          2.213          R
060202         1997/03/31          2.138          R
060202         1997/04/01          2.103          R
060202         1997/04/02          2.070          R
060202         1997/04/03          2.063          R
060202         1997/04/04          2.094          R
060202         1997/04/05          2.157          R
060202         1997/04/06          2.328          R
060202         1997/04/07          2.731          R
060202         1997/04/08          4.756          R
060202         1997/04/09          4.989          R
060202         1997/04/10          4.943          R
060202         1997/04/11          4.535          R
060202         1997/04/12          4.191          R
060202         1997/04/13          3.944          R
060202         1997/04/14          3.666          R
060202         1997/04/15          3.483          R
060202         1997/04/16          3.544          R
060202         1997/04/17          4.137          R
060202         1997/04/18          4.760          R
060202         1997/04/19          6.078          MJ
060202         1997/04/20          7.762          MJ
060202         1997/04/21          10.50          MJ
060202         1997/04/22          15.09          MJ
060202         1997/04/23          20.51          MJ
060202         1997/04/24          24.17          MJ
060202         1997/04/25          28.45          MJ
060202         1997/04/26          32.61          MJ
060202         1997/04/27          37.37          MJ
060202         1997/04/28          43.13          MJ
060202         1997/04/29          42.77          MJ
060202         1997/04/30          42.93          MJ
060202         1997/05/01          67.65          MJ
060202         1997/05/02          79.20          MJ
060202         1997/05/03          70.39          MJ
060202         1997/05/04          63.22          MJ
060202         1997/05/05          56.44          MJ
060202         1997/05/06          52.68          MJ
060202         1997/05/07          59.56          MJ
060202         1997/05/08          52.54          MJ
060202         1997/05/09          46.55          MJ
060202         1997/05/10          46.45          MJ
060202         1997/05/11          50.08          MJ
060202         1997/05/12          59.37          MJ
060202         1997/05/13          72.05          MJ
060202         1997/05/14          73.76          MJ
060202         1997/05/15          69.70          MJ
060202         1997/05/16          83.70          MJ
060202         1997/05/17          108.8          MJ
060202         1997/05/18          93.43          MJ
060202         1997/05/19          80.09          MJ
060202         1997/05/20          78.76          MJ
060202         1997/05/21          79.50          MJ
060202         1997/05/22          85.61          MJ
060202         1997/05/23          85.18          MJ
060202         1997/05/24          71.26          MJ
060202         1997/05/25          88.15          MJ
060202         1997/05/26          87.01          MJ
060202         1997/05/27          72.06          MJ
060202         1997/05/28          64.74          MJ
060202         1997/05/29          61.08          MJ
060202         1997/05/30          56.86          MJ
060202         1997/05/31          55.44          MJ
060202         1997/06/01          55.07          MJ
060202         1997/06/02          48.16          MJ
060202         1997/06/03          42.27          MJ
060202         1997/06/04          37.85          MJ
060202         1997/06/05          32.74          MJ
060202         1997/06/06          28.53          MJ
060202         1997/06/07          25.59          MJ
060202         1997/06/08          24.16          MJ
060202         1997/06/09          22.90          MJ
060202         1997/06/10          22.63          MJ
060202         1997/06/11          20.35          MJ
