Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2020-09-30, préliminaires par la suite
Station:        060601         Ha! Ha! - à 7,1 km de l'embouchure                                                                                                             
Bassin versant: 564 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 16' 39" // -70° 52' 20"

Date de création du fichier: 2021-04-28 08:23
Particularité(s):
- Cette station a été fermée de 1996-05-24 à 2019-10-23. Il faut donc soustraire 23 années à l’équivalent du nombre d’années documentées indiqué dans la légende du graphique.
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
060601         1976/09/21          6.370          J
060601         1976/09/22          6.060          MC
060601         1976/09/23          5.690          MC
060601         1976/09/24          5.410          MC
060601         1976/09/25          5.100          MC
060601         1976/09/26          4.960          MC
060601         1976/09/27          5.240          MC
060601         1976/09/28          5.440          MC
060601         1976/09/29          5.520          MC
060601         1976/09/30          5.640          MC
060601         1976/10/01          5.520          Z
060601         1976/10/02          5.320          Z
060601         1976/10/03          5.180          Z
060601         1976/10/04          5.040          Z
060601         1976/10/05          4.930          Z
060601         1976/10/06          4.810          Z
060601         1976/10/07          4.730          Z
060601         1976/10/08          4.450          Z
060601         1976/10/09          5.610          Z
060601         1976/10/10          8.830          Z
060601         1976/10/11          8.520          Z
060601         1976/10/12          7.560          Z
060601         1976/10/13          7.220          Z
060601         1976/10/14          10.40          Z
060601         1976/10/15          12.40          Z
060601         1976/10/16          12.90          Z
060601         1976/10/17          11.30          Z
060601         1976/10/18          8.690          Z
060601         1976/10/19          8.160          Z
060601         1976/10/20          8.210          Z
060601         1976/10/21          9.290          Z
060601         1976/10/22          9.600          Z
060601         1976/10/23          9.030          Z
060601         1976/10/24          8.130          Z
060601         1976/10/25          7.360          Z
060601         1976/10/26          7.310          Z
060601         1976/10/27          6.940          E
060601         1976/10/28          6.650          E
060601         1976/10/29          6.400          E
060601         1976/10/30          6.030          E
060601         1976/10/31          5.580          E
060601         1976/11/01          5.100          E
060601         1976/11/02          4.760          E
060601         1976/11/03          4.470          E
060601         1976/11/04          4.790          E
060601         1976/11/05          5.210          E
060601         1976/11/06          4.960          E
060601         1976/11/07          4.530          E
060601         1976/11/08          4.470          E
060601         1976/11/09          3.880          E
060601         1976/11/10          3.540          E
060601         1976/11/11          3.370          E
060601         1976/11/12          3.280          E
060601         1976/11/13          3.260          E
060601         1976/11/14          3.260          E
060601         1976/11/15          3.310          E
060601         1976/11/16          3.960          E
060601         1976/11/17          4.300          MC
060601         1976/11/18          4.250          MC
060601         1976/11/19          4.220          MC
060601         1976/11/20          3.770          MC
060601         1976/11/21          3.600          R
060601         1976/11/22          3.450          R
060601         1976/11/23          3.340          R
060601         1976/11/24          3.230          R
060601         1976/11/25          3.140          MC
060601         1976/11/26          3.450          MC
060601         1976/11/27          3.820          MC
060601         1976/11/28          4.360          MC
060601         1976/11/29          4.500          MC
060601         1976/11/30          4.020          MC
060601         1976/12/01          4.130          MC
060601         1976/12/02          4.500          MC
060601         1976/12/03          4.160          R
060601         1976/12/04          4.050          R
060601         1976/12/05          3.910          R
060601         1976/12/06          3.820          R
060601         1976/12/07          3.790          R
060601         1976/12/08          3.740          R
060601         1976/12/09          3.680          R
060601         1976/12/10          3.650          R
060601         1976/12/11          3.620          R
060601         1976/12/12          3.600          R
060601         1976/12/13          3.600          R
060601         1976/12/14          3.570          R
060601         1976/12/15          3.540          R
060601         1976/12/16          3.510          R
060601         1976/12/17          3.480          R
060601         1976/12/18          3.450          R
060601         1976/12/19          3.430          R
060601         1976/12/20          3.370          R
060601         1976/12/21          3.370          R
060601         1976/12/22          3.340          R
060601         1976/12/23          3.310          R
060601         1976/12/24          3.310          R
060601         1976/12/25          3.310          R
060601         1976/12/26          3.280          R
060601         1976/12/27          3.260          R
060601         1976/12/28          3.230          R
060601         1976/12/29          3.200          R
060601         1976/12/30          3.170          R
060601         1976/12/31          3.140          R
060601         1977/01/01          3.110          R
060601         1977/01/02          3.090          R
060601         1977/01/03          3.060          R
060601         1977/01/04          3.030          R
060601         1977/01/05          3.000          R
060601         1977/01/06          3.000          R
060601         1977/01/07          3.000          R
060601         1977/01/08          2.970          R
060601         1977/01/09          2.940          R
060601         1977/01/10          2.940          R
060601         1977/01/11          2.920          J
060601         1977/01/12          2.890          R
060601         1977/01/13          2.830          R
060601         1977/01/14          2.810          R
060601         1977/01/15          2.800          R
060601         1977/01/16          2.780          R
060601         1977/01/17          2.750          R
060601         1977/01/18          2.740          R
060601         1977/01/19          2.720          R
060601         1977/01/20          2.720          R
060601         1977/01/21          2.690          R
060601         1977/01/22          2.680          R
060601         1977/01/23          2.660          R
060601         1977/01/24          2.660          R
060601         1977/01/25          2.650          R
060601         1977/01/26          2.620          R
060601         1977/01/27          2.610          R
060601         1977/01/28          2.590          R
060601         1977/01/29          2.580          R
060601         1977/01/30          2.560          R
060601         1977/01/31          2.550          R
060601         1977/02/01          2.530          R
060601         1977/02/02          2.530          R
060601         1977/02/03          2.520          R
060601         1977/02/04          2.520          R
060601         1977/02/05          2.510          R
060601         1977/02/06          2.490          R
060601         1977/02/07          2.490          R
060601         1977/02/08          2.470          R
060601         1977/02/09          2.460          R
060601         1977/02/10          2.160          R
060601         1977/02/11          2.440          R
060601         1977/02/12          2.420          R
060601         1977/02/13          2.410          R
060601         1977/02/14          2.410          R
060601         1977/02/15          2.400          R
060601         1977/02/16          2.390          R
060601         1977/02/17          2.390          R
060601         1977/02/18          2.380          R
060601         1977/02/19          2.370          R
060601         1977/02/20          2.360          R
060601         1977/02/21          2.350          R
060601         1977/02/22          2.330          R
060601         1977/02/23          2.330          R
060601         1977/02/24          2.320          R
060601         1977/02/25          2.320          R
060601         1977/02/26          2.320          R
060601         1977/02/27          2.310          R
060601         1977/02/28          2.300          R
060601         1977/03/01          2.290          R
060601         1977/03/02          2.270          R
060601         1977/03/03          2.270          J
060601         1977/03/04          2.270          R
060601         1977/03/05          2.270          R
060601         1977/03/06          2.250          R
060601         1977/03/07          2.250          R
060601         1977/03/08          2.250          R
060601         1977/03/09          2.240          R
060601         1977/03/10          2.440          R
060601         1977/03/11          2.630          R
060601         1977/03/12          3.030          R
060601         1977/03/13          3.310          R
