Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2020-09-30, préliminaires par la suite
Station:        060901         Du Moulin - en amont du seuil à l'entrée du parc du moulin                                                                                     
Bassin versant: 358 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 23' 40" // -71° 2' 33"

Date de création du fichier: 2021-04-26 01:24
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
060901         2008/10/06          6.450          MJ
060901         2008/10/07          5.737          MJ
060901         2008/10/08          4.961          MJ
060901         2008/10/09          4.542          MJ
060901         2008/10/10          4.248          MJ
060901         2008/10/11          4.328          MJ
060901         2008/10/12          4.497          MJ
060901         2008/10/13          4.161          MJ
060901         2008/10/14          4.036          MJ
060901         2008/10/15          4.025          MJ
060901         2008/10/16          4.227          MJ
060901         2008/10/17          4.024          MJ
060901         2008/10/18          3.859          MJ
060901         2008/10/19          3.686          MJ
060901         2008/10/20          3.489          MJ
060901         2008/10/21          3.627          MJ
060901         2008/10/22          5.205          MJ
060901         2008/10/23          5.561          MJ
060901         2008/10/24          5.086          MJ
060901         2008/10/25          4.935          MJ
060901         2008/10/26          5.966          MJ
060901         2008/10/27          10.56          MJ
060901         2008/10/28          8.508          MJ
060901         2008/10/29          9.619          MJ
060901         2008/10/30          12.89          MJ
060901         2008/10/31          9.947          MJ
060901         2008/11/01          8.142          MJ
060901         2008/11/02          7.164          MJ
060901         2008/11/03          6.422          MJ
060901         2008/11/04          6.144          MJ
060901         2008/11/05          5.915          MJ
060901         2008/11/06          6.219          MJ
060901         2008/11/07          5.890          MJ
060901         2008/11/08          5.541          MJ
060901         2008/11/09          5.945          MJ
060901         2008/11/10          6.683          MJ
060901         2008/11/11          6.518          MJ
060901         2008/11/12          5.962          MJ
060901         2008/11/13          5.396          MJ
060901         2008/11/14          5.217          MJ
060901         2008/11/15          5.768          MJ
060901         2008/11/16          16.21          MJ
060901         2008/11/17          26.60          MJ
060901         2008/11/18          18.74          MJ
060901         2008/11/19          12.20          MJ
060901         2008/11/20          9.102          MJ
060901         2008/11/21          7.629          MJ
060901         2008/11/22          6.671          MJ
060901         2008/11/23          5.950          R
060901         2008/11/24          5.660          R
060901         2008/11/25          5.400          R
060901         2008/11/26          5.170          R
060901         2008/11/27          4.970          R
060901         2008/11/28          4.780          R
060901         2008/11/29          4.620          R
060901         2008/11/30          4.470          R
060901         2008/12/01          4.340          R
060901         2008/12/02          4.220          R
060901         2008/12/03          4.110          R
060901         2008/12/04          4.010          R
060901         2008/12/05          3.920          R
060901         2008/12/06          3.840          R
060901         2008/12/07          3.760          R
060901         2008/12/08          3.690          R
060901         2008/12/09          3.630          R
060901         2008/12/10          3.570          R
060901         2008/12/11          3.510          R
060901         2008/12/12          3.450          R
060901         2008/12/13          3.400          R
060901         2008/12/14          3.340          R
060901         2008/12/15          3.290          R
060901         2008/12/16          3.660          R
060901         2008/12/17          4.120          R
060901         2008/12/18          3.840          R
060901         2008/12/19          3.630          R
060901         2008/12/20          3.450          R
060901         2008/12/21          3.320          R
060901         2008/12/22          3.210          R
060901         2008/12/23          3.130          R
060901         2008/12/24          3.060          R
060901         2008/12/25          3.020          R
060901         2008/12/26          2.980          R
060901         2008/12/27          2.960          R
060901         2008/12/28          3.330          R
060901         2008/12/29          4.170          R
060901         2008/12/30          3.850          R
060901         2008/12/31          3.610          R
060901         2009/01/01          3.420          R
060901         2009/01/02          3.270          R
060901         2009/01/03          3.140          R
060901         2009/01/04          3.030          R
060901         2009/01/05          2.920          R
060901         2009/01/06          2.840          R
060901         2009/01/07          2.770          R
060901         2009/01/08          2.700          R
060901         2009/01/09          2.640          R
060901         2009/01/10          2.580          R
060901         2009/01/11          2.520          R
060901         2009/01/12          2.470          R
060901         2009/01/13          2.420          R
060901         2009/01/14          2.370          R
060901         2009/01/15          2.330          R
060901         2009/01/16          2.280          R
060901         2009/01/17          2.250          R
060901         2009/01/18          2.210          R
060901         2009/01/19          2.170          R
060901         2009/01/20          2.140          R
060901         2009/01/21          2.110          R
060901         2009/01/22          2.070          R
060901         2009/01/23          2.040          R
060901         2009/01/24          2.020          R
060901         2009/01/25          1.990          R
060901         2009/01/26          1.960          R
060901         2009/01/27          1.930          R
060901         2009/01/28          1.910          R
060901         2009/01/29          1.880          J
060901         2009/01/30          1.870          R
060901         2009/01/31          1.850          R
060901         2009/02/01          1.840          R
060901         2009/02/02          1.830          R
060901         2009/02/03          1.820          R
060901         2009/02/04          1.800          R
060901         2009/02/05          1.790          R
060901         2009/02/06          1.780          R
060901         2009/02/07          1.770          R
060901         2009/02/08          1.760          R
060901         2009/02/09          1.750          R
060901         2009/02/10          1.730          R
060901         2009/02/11          1.720          R
060901         2009/02/12          1.710          R
060901         2009/02/13          1.700          R
060901         2009/02/14          1.690          R
060901         2009/02/15          1.680          R
060901         2009/02/16          1.670          R
060901         2009/02/17          1.660          R
060901         2009/02/18          1.650          R
060901         2009/02/19          1.640          R
060901         2009/02/20          1.630          R
060901         2009/02/21          1.630          R
060901         2009/02/22          1.620          R
060901         2009/02/23          1.610          R
060901         2009/02/24          1.600          R
060901         2009/02/25          1.590          R
060901         2009/02/26          1.580          R
060901         2009/02/27          1.580          R
060901         2009/02/28          1.570          R
060901         2009/03/01          1.550          R
060901         2009/03/02          1.550          R
060901         2009/03/03          1.540          R
060901         2009/03/04          1.530          R
060901         2009/03/05          1.530          R
060901         2009/03/06          1.520          R
060901         2009/03/07          1.520          R
060901         2009/03/08          1.510          R
060901         2009/03/09          1.500          R
060901         2009/03/10          1.500          R
060901         2009/03/11          1.490          R
060901         2009/03/12          1.490          R
060901         2009/03/13          1.480          R
060901         2009/03/14          1.480          R
060901         2009/03/15          1.470          R
060901         2009/03/16          1.470          R
060901         2009/03/17          1.470          R
060901         2009/03/18          1.460          J
060901         2009/03/19          1.460          R
060901         2009/03/20          1.460          R
060901         2009/03/21          1.460          R
060901         2009/03/22          1.460          R
060901         2009/03/23          1.470          R
060901         2009/03/24          1.470          R
060901         2009/03/25          1.480          R
060901         2009/03/26          1.490          R
060901         2009/03/27          1.590          R
060901         2009/03/28          1.740          R
060901         2009/03/29          1.960          R
060901         2009/03/30          2.240          R
060901         2009/03/31          2.620          R
060901         2009/04/01          3.090          R
060901         2009/04/02          3.880          R
060901         2009/04/03          4.750          R
060901         2009/04/04          8.730          R
060901         2009/04/05          16.00          R
060901         2009/04/06          19.98          R
060901         2009/04/07          18.91          R
060901         2009/04/08          16.10          R
060901         2009/04/09          12.85          R
060901         2009/04/10          9.990          R
060901         2009/04/11          7.880          R
060901         2009/04/12          6.570          R
060901         2009/04/13          6.020          R
060901         2009/04/14          6.260          R
060901         2009/04/15          6.800          R
060901         2009/04/16          7.590          R
060901         2009/04/17          8.540          R
060901         2009/04/18          9.500          R
060901         2009/04/19          10.26          R
060901         2009/04/20          10.27          R
060901         2009/04/21          10.29          R
