Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1995-09-30
Station:        061008         Simoncouche - à la décharge du petit lac Moncouche                                                                                             
Bassin versant: 0.5 km²        Régime: Influencé                                         
Coordonnées:    (NAD83) 48° 17' 43" // -71° 12' 8"

Date de création du fichier: 2012-06-24 01:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
061008         1989/02/13          0.033          J
061008         1989/02/14          0.036          J
061008         1989/02/15          0.033          MC
061008         1989/02/16          0.029          MC
061008         1989/02/17          0.027          MC
061008         1989/02/18          0.027          MC
061008         1989/02/19          0.030          MC
061008         1989/02/20          0.028          MC
061008         1989/02/21          0.026          MC
061008         1989/02/22          0.025          MC
061008         1989/02/23          0.017          MC
061008         1989/02/24          0.014          MC
061008         1989/02/25          0.013          MC
061008         1989/02/26          0.013          MC
061008         1989/02/27          0.011          MC
061008         1989/02/28          0.000          MC
061008         1989/03/01          0.000          MC
061008         1989/03/02          0.000          MC
061008         1989/03/03          0.000          MC
061008         1989/03/04          0.000          MC
061008         1989/03/05          0.000          MC
061008         1989/03/06          0.000          MC
061008         1989/03/07          0.000          MC
061008         1989/03/08          0.000          MC
061008         1989/03/09          0.000          MC
061008         1989/03/10          0.000          MC
061008         1989/03/11          0.000          MC
061008         1989/03/12          0.000          MC
061008         1989/03/13          0.000          MC
061008         1989/03/14          0.000          MC
061008         1989/03/15          0.000          MC
061008         1989/03/16          0.000          MC
061008         1989/03/17          0.000          MC
061008         1989/03/18          0.000          MC
061008         1989/03/19          0.000          MC
061008         1989/03/20          0.000          MC
061008         1989/03/21          0.000          MC
061008         1989/03/22          0.000          MC
061008         1989/03/23          0.000          MC
061008         1989/03/24          0.000          MC
061008         1989/03/25          0.000          MC
061008         1989/03/26          0.000          MC
061008         1989/03/27          0.000          MC
061008         1989/03/28          0.000          MC
061008         1989/03/29          0.000          MC
061008         1989/03/30          0.000          MC
061008         1989/03/31          0.000          MC
061008         1989/04/01          0.000          MC
061008         1989/04/02          0.000          MC
061008         1989/04/03          0.000          MC
061008         1989/04/04          0.000          MC
061008         1989/04/05          0.000          MC
061008         1989/04/06          0.000          MC
061008         1989/04/07          0.000          MC
061008         1989/04/08          0.000          MC
061008         1989/04/09          0.000          MC
061008         1989/04/10          0.000          MC
061008         1989/04/11          0.000          MC
061008         1989/04/12          0.000          MC
061008         1989/04/13          0.000          MC
061008         1989/04/14          0.000          MC
061008         1989/04/15          0.000          MC
061008         1989/04/16          0.000          MC
061008         1989/04/17          0.000          MC
061008         1989/04/18          0.000          MC
061008         1989/04/19          0.000          MC
061008         1989/04/20          0.000          MC
061008         1989/04/21          0.000          MC
061008         1989/04/22          0.000          MC
061008         1989/04/23          0.000          MC
061008         1989/04/24          0.000          MC
061008         1989/04/25          0.000          MC
061008         1989/04/26          0.000          MC
061008         1989/04/27          0.000          MC
061008         1989/04/28          0.000          MC
061008         1989/04/29          0.000          MC
061008         1989/04/30          0.015          MC
061008         1989/05/01          0.042          MC
061008         1989/05/02          0.071          MC
061008         1989/05/03          0.083          MC
061008         1989/05/04          0.092          MC
061008         1989/05/05          0.090          MC
061008         1989/05/06          0.072          MC
061008         1989/05/07          0.069          MC
061008         1989/05/08          0.070          MC
061008         1989/05/09          0.083          MC
061008         1989/05/10          0.088          MC
061008         1989/05/11          0.089          MC
061008         1989/05/12          0.098          MC
061008         1989/05/13          0.107          MC
061008         1989/05/14          0.112          MC
061008         1989/05/15          0.117          MC
061008         1989/05/16          0.126          MC
061008         1989/05/17          0.145          MC
061008         1989/05/18          0.168          MC
061008         1989/05/19          0.205          MC
061008         1989/05/20          0.235          MC
061008         1989/05/21          0.274          MC
061008         1989/05/22          0.316          MC
061008         1989/05/23          0.355          MC
061008         1989/05/24          0.374          MC
061008         1989/05/25          0.374          MC
061008         1989/05/26          0.411          MC
061008         1989/05/27          0.462          MC
061008         1989/05/28          0.477          MC
061008         1989/05/29          0.474          MC
061008         1989/05/30          0.503          J
061008         1989/05/31          0.460          MC
061008         1989/06/01          0.303          MC
061008         1989/06/02          0.289          MC
061008         1989/06/03          0.292          MC
061008         1989/06/04          0.309          MC
061008         1989/06/05          0.305          MC
061008         1989/06/06          0.308          E
061008         1989/06/07          0.308          E
061008         1989/06/08          0.308          E
061008         1989/06/09          0.308          E
061008         1989/06/10          0.308          E
061008         1989/06/11          0.308          E
061008         1989/06/12          0.309          MC
061008         1989/06/13          0.304          MC
061008         1989/06/14          0.305          MC
061008         1989/06/15          0.305          MC
061008         1989/06/16          0.305          MC
061008         1989/06/17          0.310          E
061008         1989/06/18          0.315          E
061008         1989/06/19          0.319          E
061008         1989/06/20          0.323          E
061008         1989/06/21          0.326          E
061008         1989/06/22          0.330          E
061008         1989/06/23          0.338          MC
061008         1989/06/24          0.347          MC
061008         1989/06/25          0.351          MC
061008         1989/06/26          0.352          MC
061008         1989/06/27          0.349          E
061008         1989/06/28          0.328          E
061008         1989/06/29          0.307          MC
061008         1989/06/30          0.281          MC
061008         1989/07/01          0.268          E
061008         1989/07/02          0.254          E
061008         1989/07/03          0.238          E
061008         1989/07/04          0.227          E
061008         1989/07/05          0.214          MC
061008         1989/07/06          0.171          MC
061008         1989/07/07          0.137          MC
061008         1989/07/08          0.131          MC
061008         1989/07/09          0.131          MC
061008         1989/07/10          0.138          MC
061008         1989/07/11          0.138          MC
061008         1989/07/12          0.136          MC
061008         1989/07/13          0.139          MC
061008         1989/07/14          0.140          MC
061008         1989/07/15          0.134          MC
061008         1989/07/16          0.133          MC
061008         1989/07/17          0.132          MC
061008         1989/07/18          0.131          MC
061008         1989/07/19          0.134          MC
061008         1989/07/20          0.128          MC
061008         1989/07/21          0.125          MC
061008         1989/07/22          0.123          MC
061008         1989/07/23          0.119          MC
061008         1989/07/24          0.119          MC
061008         1989/07/25          0.130          MC
061008         1989/07/26          0.131          MC
061008         1989/07/27          0.128          MC
061008         1989/07/28          0.128          MC
061008         1989/07/29          0.118          MC
061008         1989/07/30          0.115          MC
061008         1989/07/31          0.117          MC
061008         1989/08/01          0.136          MC
061008         1989/08/02          0.158          MC
061008         1989/08/03          0.156          MC
