Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2020-09-30, préliminaires par la suite
Station:        061020         Aux Écorces - à 0,6 km en amont du pont-route 169                                                                                              
Bassin versant: 1115 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 10' 58" // -71° 38' 41"

Date de création du fichier: 2021-10-17 19:39
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
061020         1971/07/13          19.70          MC
061020         1971/07/14          19.60          MC
061020         1971/07/15          19.50          MC
061020         1971/07/16          19.50          MC
061020         1971/07/17          23.50          MC
061020         1971/07/18          26.10          MC
061020         1971/07/19          23.20          MC
061020         1971/07/20          23.00          MC
061020         1971/07/21          23.60          MC
061020         1971/07/22          22.60          MC
061020         1971/07/23          21.40          MC
061020         1971/07/24          22.60          MC
061020         1971/07/25          22.00          MC
061020         1971/07/26          21.30          MC
061020         1971/07/27          20.80          MC
061020         1971/07/28          19.90          MC
061020         1971/07/29          19.10          MC
061020         1971/07/30          18.70          MC
061020         1971/07/31          18.20          MC
061020         1971/08/01          17.90          MC
061020         1971/08/02          17.50          MC
061020         1971/08/03          17.20          MC
061020         1971/08/04          17.60          MC
061020         1971/08/05          18.20          MC
061020         1971/08/06          21.50          MC
061020         1971/08/07          23.60          MC
061020         1971/08/08          23.40          MC
061020         1971/08/09          40.80          MC
061020         1971/08/10          45.90          MC
061020         1971/08/11          43.90          MC
061020         1971/08/12          43.00          MC
061020         1971/08/13          39.40          MC
061020         1971/08/14          36.50          MC
061020         1971/08/15          43.30          MC
061020         1971/08/16          41.30          MC
061020         1971/08/17          35.40          MC
061020         1971/08/18          30.60          MC
061020         1971/08/19          27.00          MC
061020         1971/08/20          24.40          MC
061020         1971/08/21          24.40          MC
061020         1971/08/22          24.50          MC
061020         1971/08/23          25.20          MC
061020         1971/08/24          149.0          MC
061020         1971/08/25          209.0          MC
061020         1971/08/26          200.0          MC
061020         1971/08/27          153.0          J
061020         1971/08/28          119.0          MC
061020         1971/08/29          122.0          MC
061020         1971/08/30          123.0          MC
061020         1971/08/31          119.0          MC
061020         1971/09/01          104.0          MC
061020         1971/09/02          85.50          MC
061020         1971/09/03          68.20          MC
061020         1971/09/04          55.80          MC
061020         1971/09/05          55.50          MC
061020         1971/09/06          58.60          MC
061020         1971/09/07          51.30          MC
061020         1971/09/08          45.90          MC
061020         1971/09/09          40.80          MC
061020         1971/09/10          36.00          MC
061020         1971/09/11          32.00          MC
061020         1971/09/12          33.10          MC
061020         1971/09/13          54.10          MC
061020         1971/09/14          56.90          MC
061020         1971/09/15          56.90          MC
061020         1971/09/16          53.20          MC
061020         1971/09/17          46.70          MC
061020         1971/09/18          45.00          MC
061020         1971/09/19          41.90          MC
061020         1971/09/20          38.50          MC
061020         1971/09/21          37.90          MC
061020         1971/09/22          40.80          MC
061020         1971/09/23          39.90          MC
061020         1971/09/24          40.50          MC
061020         1971/09/25          41.90          MC
061020         1971/09/26          38.80          MC
061020         1971/09/27          35.40          MC
061020         1971/09/28          32.00          MC
061020         1971/09/29          30.00          MC
061020         1971/09/30          27.40          MC
061020         1971/10/01          25.70          MC
061020         1971/10/02          24.30          MC
061020         1971/10/03          23.10          MC
061020         1971/10/04          22.40          MC
061020         1971/10/05          22.30          MC
061020         1971/10/06          22.30          MC
061020         1971/10/07          25.40          MC
061020         1971/10/08          30.60          MC
061020         1971/10/09          31.10          MC
061020         1971/10/10          31.70          MC
061020         1971/10/11          45.90          MC
061020         1971/10/12          71.60          J
061020         1971/10/13          75.00          MC
061020         1971/10/14          65.70          MC
061020         1971/10/15          57.50          MC
061020         1971/10/16          50.10          MC
061020         1971/10/17          43.90          MC
061020         1971/10/18          39.40          MC
061020         1971/10/19          35.10          MC
061020         1971/10/20          32.30          MC
061020         1971/10/21          31.10          MC
061020         1971/10/22          29.20          MC
061020         1971/10/23          28.60          MC
061020         1971/10/24          28.30          MC
061020         1971/10/25          26.80          MC
061020         1971/10/26          26.70          MC
061020         1971/10/27          26.60          MC
061020         1971/10/28          25.80          MC
061020         1971/10/29          24.50          MC
061020         1971/10/30          23.40          MC
061020         1971/10/31          22.70          MC
061020         1971/11/01          22.30          MC
061020         1971/11/02          21.40          MC
061020         1971/11/03          21.50          MC
061020         1971/11/04          21.80          MC
061020         1971/11/05          22.10          MC
061020         1971/11/06          21.80          MC
061020         1971/11/07          21.80          MC
061020         1971/11/08          22.50          MC
061020         1971/11/09          22.00          MC
061020         1971/11/10          21.20          MC
061020         1971/11/11          20.60          MC
061020         1971/11/12          20.30          MC
061020         1971/11/13          19.90          MC
061020         1971/11/14          19.30          MC
061020         1971/11/15          18.60          MC
061020         1971/11/16          18.10          MC
061020         1971/11/17          17.80          MC
061020         1971/11/18          17.70          MC
061020         1971/11/19          18.20          MC
061020         1971/11/20          23.00          MC
061020         1971/11/21          26.40          MC
061020         1971/11/22          25.00          MC
061020         1971/11/23          23.70          MC
061020         1971/11/24          21.50          R
061020         1971/11/25          20.40          R
061020         1971/11/26          19.00          R
061020         1971/11/27          18.10          R
061020         1971/11/28          17.00          R
061020         1971/11/29          16.40          R
061020         1971/11/30          15.60          R
061020         1971/12/01          15.00          R
061020         1971/12/02          14.40          R
061020         1971/12/03          14.00          R
061020         1971/12/04          13.50          R
061020         1971/12/05          13.20          R
061020         1971/12/06          12.70          R
061020         1971/12/07          12.30          R
061020         1971/12/08          12.00          R
061020         1971/12/09          11.90          R
061020         1971/12/10          11.90          R
061020         1971/12/11          12.20          R
061020         1971/12/12          12.30          R
061020         1971/12/13          12.00          R
061020         1971/12/14          11.80          J
061020         1971/12/15          11.60          R
061020         1971/12/16          11.20          R
061020         1971/12/17          10.90          R
061020         1971/12/18          10.80          R
061020         1971/12/19          10.50          R
061020         1971/12/20          10.30          R
061020         1971/12/21          10.10          R
061020         1971/12/22          9.770          R
061020         1971/12/23          9.630          R
061020         1971/12/24          9.490          R
061020         1971/12/25          9.290          R
061020         1971/12/26          9.120          R
061020         1971/12/27          9.000          R
061020         1971/12/28          8.780          R
061020         1971/12/29          8.640          R
061020         1971/12/30          8.550          R
061020         1971/12/31          8.500          R
061020         1972/01/01          8.350          R
061020         1972/01/02          8.210          R
061020         1972/01/03          8.130          R
061020         1972/01/04          8.010          R
061020         1972/01/05          7.930          R
061020         1972/01/06          7.900          R
061020         1972/01/07          7.840          R
061020         1972/01/08          7.760          R
061020         1972/01/09          7.700          R
061020         1972/01/10          7.650          R
061020         1972/01/11          7.500          R
061020         1972/01/12          7.450          R
061020         1972/01/13          7.360          R
061020         1972/01/14          7.330          R
061020         1972/01/15          7.360          R
061020         1972/01/16          7.560          R
061020         1972/01/17          7.560          R
061020         1972/01/18          7.450          R
061020         1972/01/19          7.390          R
061020         1972/01/20          7.450          R
061020         1972/01/21          7.360          R
061020         1972/01/22          7.220          R
061020         1972/01/23          7.140          R
061020         1972/01/24          7.080          J
061020         1972/01/25          6.940          R
061020         1972/01/26          6.740          R
061020         1972/01/27          6.570          R
061020         1972/01/28          6.460          R
061020         1972/01/29          6.370          R
061020         1972/01/30          6.290          R
061020         1972/01/31          6.230          R
061020         1972/02/01          6.090          R
061020         1972/02/02          6.000          R
061020         1972/02/03          5.950          R
061020         1972/02/04          5.890          R
061020         1972/02/05          5.800          R
061020         1972/02/06          5.720          R
061020         1972/02/07          5.660          R
061020         1972/02/08          5.640          R
061020         1972/02/09          5.580          R
061020         1972/02/10          5.520          R
061020         1972/02/11          5.440          R
061020         1972/02/12          5.410          R
061020         1972/02/13          5.380          R
061020         1972/02/14          5.380          R
061020         1972/02/15          5.410          R
061020         1972/02/16          5.440          R
061020         1972/02/17          5.380          R
061020         1972/02/18          5.320          R
061020         1972/02/19          5.300          R
061020         1972/02/20          5.210          R
061020         1972/02/21          5.130          R
061020         1972/02/22          5.070          R
061020         1972/02/23          5.010          R
061020         1972/02/24          4.900          R
061020         1972/02/25          4.840          R
061020         1972/02/26          4.760          R
061020         1972/02/27          4.730          J
061020         1972/02/28          4.700          R
061020         1972/02/29          4.620          R
061020         1972/03/01          4.530          R
061020         1972/03/02          4.470          R
061020         1972/03/03          4.450          R
061020         1972/03/04          4.420          R
061020         1972/03/05          4.390          R
061020         1972/03/06          4.330          R
061020         1972/03/07          4.300          R
061020         1972/03/08          4.280          R
061020         1972/03/09          4.280          R
061020         1972/03/10          4.250          R
061020         1972/03/11          4.220          R
061020         1972/03/12          4.190          R
061020         1972/03/13          4.190          R
061020         1972/03/14          4.190          R
061020         1972/03/15          4.160          R
061020         1972/03/16          4.220          R
061020         1972/03/17          4.330          R
061020         1972/03/18          4.670          R
061020         1972/03/19          4.810          R
061020         1972/03/20          4.810          R
