Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2010-06-21
Station:        061021         Aux Sables - à 2,6 km en aval du barrage Pibrac                                                                                                
Bassin versant: 3390 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 48° 22' 6" // -71° 16' 46"

Date de création du fichier: 2012-06-24 02:10
Particularité(s):
- Les données de cette station peuvent être fusionnées avec celles de la station 061029. En effet, la superficie du bassin versant aux deux stations est identique.
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
061021         1972/01/01          14.20          MC
061021         1972/01/02          13.80          MC
061021         1972/01/03          14.10          MC
061021         1972/01/04          13.80          MC
061021         1972/01/05          14.00          MC
061021         1972/01/06          14.60          MC
061021         1972/01/07          14.90          MC
061021         1972/01/08          13.70          MC
061021         1972/01/09          12.90          MC
061021         1972/01/10          13.60          MC
061021         1972/01/11          13.50          MC
061021         1972/01/12          13.80          MC
061021         1972/01/13          14.40          MC
061021         1972/01/14          14.60          MC
061021         1972/01/15          13.50          MC
061021         1972/01/16          12.50          MC
061021         1972/01/17          13.10          MC
061021         1972/01/18          13.30          MC
061021         1972/01/19          14.40          MC
061021         1972/01/20          14.00          MC
061021         1972/01/21          14.60          MC
061021         1972/01/22          13.70          MC
061021         1972/01/23          13.10          MC
061021         1972/01/24          13.40          MC
061021         1972/01/25          13.70          MC
061021         1972/01/26          13.60          MC
061021         1972/01/27          14.10          MC
061021         1972/01/28          15.00          MC
061021         1972/01/29          13.80          MC
061021         1972/01/30          13.60          MC
061021         1972/01/31          13.70          MC
061021         1972/02/01          13.60          MC
061021         1972/02/02          13.20          MC
061021         1972/02/03          14.60          MC
061021         1972/02/04          15.10          MC
061021         1972/02/05          13.80          MC
061021         1972/02/06          13.50          MC
061021         1972/02/07          13.40          MC
061021         1972/02/08          13.10          MC
061021         1972/02/09          13.40          MC
061021         1972/02/10          14.30          MC
061021         1972/02/11          14.70          MC
061021         1972/02/12          13.80          MC
061021         1972/02/13          13.10          MC
061021         1972/02/14          13.50          MC
061021         1972/02/15          14.20          MC
061021         1972/02/16          14.20          MC
061021         1972/02/17          15.20          MC
061021         1972/02/18          15.70          MC
061021         1972/02/19          14.50          MC
061021         1972/02/20          14.10          MC
061021         1972/02/21          14.40          MC
061021         1972/02/22          14.00          MC
061021         1972/02/23          14.20          MC
061021         1972/02/24          15.20          MC
061021         1972/02/25          15.80          MC
061021         1972/02/26          15.10          MC
061021         1972/02/27          13.80          MC
061021         1972/02/28          15.10          MC
061021         1972/02/29          14.80          MC
061021         1972/03/01          14.90          MC
061021         1972/03/02          16.00          MC
061021         1972/03/03          16.40          MC
061021         1972/03/04          15.70          MC
061021         1972/03/05          14.10          MC
061021         1972/03/06          14.60          MC
061021         1972/03/07          14.70          MC
061021         1972/03/08          14.80          MC
061021         1972/03/09          15.30          MC
061021         1972/03/10          15.50          MC
061021         1972/03/11          14.90          MC
061021         1972/03/12          14.40          MC
061021         1972/03/13          14.80          MC
061021         1972/03/14          14.70          MC
061021         1972/03/15          14.80          MC
061021         1972/03/16          15.70          MC
061021         1972/03/17          16.60          MC
061021         1972/03/18          15.30          MC
061021         1972/03/19          14.90          MC
061021         1972/03/20          14.70          MC
061021         1972/03/21          14.50          MC
061021         1972/03/22          14.90          MC
061021         1972/03/23          13.70          MC
061021         1972/03/24          11.80          MC
061021         1972/03/25          11.40          MC
061021         1972/03/26          11.70          MC
061021         1972/03/27          12.30          MC
061021         1972/03/28          11.80          MC
061021         1972/03/29          8.640          MC
061021         1972/03/30          5.210          MC
061021         1972/03/31          4.870          MC
061021         1972/04/01          4.790          MC
061021         1972/04/02          4.760          MC
061021         1972/04/03          9.340          MC
061021         1972/04/04          16.20          MC
061021         1972/04/05          16.50          MC
061021         1972/04/06          16.60          MC
061021         1972/04/07          16.00          MC
061021         1972/04/08          15.90          MC
061021         1972/04/09          16.10          MC
061021         1972/04/10          17.90          MC
061021         1972/04/11          18.00          MC
061021         1972/04/12          18.30          MC
061021         1972/04/13          17.70          MC
061021         1972/04/14          18.00          MC
061021         1972/04/15          17.60          MC
061021         1972/04/16          17.30          MC
061021         1972/04/17          17.90          MC
061021         1972/04/18          18.90          MC
061021         1972/04/19          19.10          MC
061021         1972/04/20          18.40          MC
061021         1972/04/21          21.50          MC
061021         1972/04/22          21.40          MC
061021         1972/04/23          19.80          MC
061021         1972/04/24          20.10          MC
061021         1972/04/25          21.00          MC
061021         1972/04/26          20.20          MC
061021         1972/04/27          18.90          MC
061021         1972/04/28          18.70          MC
061021         1972/04/29          16.60          MC
061021         1972/04/30          18.00          MC
061021         1972/05/01          22.70          MC
061021         1972/05/02          30.00          MC
061021         1972/05/03          29.40          MC
061021         1972/05/04          28.30          MC
061021         1972/05/05          28.60          MC
