Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1996-07-20
Station:        061023         Aux Sables - au pont-route en aval de Pibrac                                                                                                   
Bassin versant: 3390 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 48° 22' 16" // -71° 17' 3"

Date de création du fichier: 2012-06-24 02:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
061023         1985/08/02          30.90          MC
061023         1985/08/03          30.90          MC
061023         1985/08/04          30.80          MC
061023         1985/08/05          30.70          MC
061023         1985/08/06          29.10          MC
061023         1985/08/07          27.10          MC
061023         1985/08/08          26.50          MC
061023         1985/08/09          26.20          MC
061023         1985/08/10          26.20          MC
061023         1985/08/11          25.50          MC
061023         1985/08/12          25.20          MC
061023         1985/08/13          25.30          MC
061023         1985/08/14          25.30          MC
061023         1985/08/15          25.30          MC
061023         1985/08/16          22.40          MC
061023         1985/08/17          20.30          MC
061023         1985/08/18          20.20          MC
061023         1985/08/19          19.40          MC
061023         1985/08/20          18.80          MC
061023         1985/08/21          19.80          MC
061023         1985/08/22          19.20          MC
061023         1985/08/23          19.10          MC
061023         1985/08/24          18.90          MC
061023         1985/08/25          18.90          MC
061023         1985/08/26          19.00          MC
061023         1985/08/27          19.10          MC
061023         1985/08/28          19.10          MC
061023         1985/08/29          19.20          MC
061023         1985/08/30          19.40          MC
061023         1985/08/31          19.40          MC
061023         1985/09/01          19.40          MC
061023         1985/09/02          19.40          MC
061023         1985/09/03          19.40          MC
061023         1985/09/04          19.30          MC
061023         1985/09/05          19.20          MC
061023         1985/09/06          19.20          MC
061023         1985/09/07          19.20          MC
061023         1985/09/08          19.10          MC
061023         1985/09/09          19.10          MC
061023         1985/09/10          19.10          MC
061023         1985/09/11          19.10          MC
061023         1985/09/12          19.10          MC
061023         1985/09/13          19.20          MC
061023         1985/09/14          19.20          MC
061023         1985/09/15          19.20          MC
061023         1985/09/16          19.30          MC
061023         1985/09/17          19.20          MC
061023         1985/09/18          19.20          MC
061023         1985/09/19          19.10          MC
061023         1985/09/20          18.80          MC
061023         1985/09/21          18.50          MC
061023         1985/09/22          18.50          MC
061023         1985/09/23          18.50          MC
061023         1985/09/24          18.40          MC
061023         1985/09/25          18.20          MC
061023         1985/09/26          17.80          MC
061023         1985/09/27          17.80          MC
061023         1985/09/28          17.70          MC
061023         1985/09/29          17.70          MC
061023         1985/09/30          17.70          MC
061023         1985/10/01          17.60          MC
061023         1985/10/02          17.60          MC
061023         1985/10/03          17.60          MC
061023         1985/10/04          17.60          MC
061023         1985/10/05          17.60          MC
061023         1985/10/06          17.50          MC
061023         1985/10/07          17.50          MC
061023         1985/10/08          17.50          MC
061023         1985/10/09          17.70          MC
061023         1985/10/10          17.70          MC
061023         1985/10/11          17.70          MC
061023         1985/10/12          17.90          MC
061023         1985/10/13          17.90          MC
061023         1985/10/14          18.00          MC
061023         1985/10/15          18.00          MC
061023         1985/10/16          18.00          MC
061023         1985/10/17          17.60          MC
061023         1985/10/18          17.10          MC
061023         1985/10/19          17.10          MC
061023         1985/10/20          17.10          MC
061023         1985/10/21          17.10          MC
061023         1985/10/22          17.10          MC
061023         1985/10/23          17.10          MC
061023         1985/10/24          17.10          MC
061023         1985/10/25          17.10          MC
061023         1985/10/26          17.10          MC
061023         1985/10/27          17.10          MC
061023         1985/10/28          17.20          MC
061023         1985/10/29          17.20          MC
061023         1985/10/30          17.20          MC
061023         1985/10/31          17.20          MC
061023         1985/11/01          17.20          MC
061023         1985/11/02          17.20          MC
061023         1985/11/03          17.20          MC
061023         1985/11/04          17.20          MC
061023         1985/11/05          18.50          MC
061023         1985/11/06          19.30          MC
061023         1985/11/07          19.30          MC
061023         1985/11/08          19.10          MC
061023         1985/11/09          18.90          MC
061023         1985/11/10          18.90          MC
061023         1985/11/11          18.90          MC
061023         1985/11/12          18.90          MC
061023         1985/11/13          18.90          MC
061023         1985/11/14          18.90          MC
061023         1985/11/15          18.90          MC
061023         1985/11/16          18.90          MC
061023         1985/11/17          18.90          MC
061023         1985/11/18          19.00          MC
061023         1985/11/19          19.20          MC
061023         1985/11/20          19.40          MC
061023         1985/11/21          19.00          MC
061023         1985/11/22          18.80          MC
061023         1985/11/23          18.80          MC
061023         1985/11/24          18.80          MC
061023         1985/11/25          18.80          MC
061023         1985/11/26          18.80          MC
061023         1985/11/27          18.80          MC
061023         1985/11/28          18.90          MC
061023         1985/11/29          18.20          MC
061023         1985/11/30          17.70          MC
061023         1985/12/01          17.70          MC
061023         1985/12/02          17.70          MC
061023         1985/12/03          17.60          MC
061023         1985/12/04          17.60          MC
061023         1985/12/05          18.00          MC
061023         1985/12/06          17.60          MC
061023         1985/12/07          17.30          MC
061023         1985/12/08          17.30          MC
061023         1985/12/09          17.40          MC
061023         1985/12/10          17.40          MC
061023         1985/12/11          17.40          MC
061023         1985/12/12          17.40          MC
061023         1985/12/13          17.50          MC
061023         1985/12/14          17.50          MC
061023         1985/12/15          17.50          MC
061023         1985/12/16          17.10          MC
061023         1985/12/17          16.60          MC
061023         1985/12/18          16.60          MC
061023         1985/12/19          16.60          MC
061023         1985/12/20          16.60          MC
061023         1985/12/21          16.60          MC
061023         1985/12/22          16.70          MC
061023         1985/12/23          16.70          MC
061023         1985/12/24          16.70          MC
061023         1985/12/25          16.70          MC
061023         1985/12/26          16.70          MC
061023         1985/12/27          16.80          MC
061023         1985/12/28          16.90          MC
061023         1985/12/29          16.90          MC
061023         1985/12/30          16.90          MC
061023         1985/12/31          17.00          MC
061023         1986/01/01          16.90          MC
061023         1986/01/02          16.90          MC
061023         1986/01/03          16.80          MC
061023         1986/01/04          16.60          MC
061023         1986/01/05          16.60          MC
061023         1986/01/06          17.00          MC
061023         1986/01/07          16.90          MC
061023         1986/01/08          16.90          MC
061023         1986/01/09          17.10          MC
061023         1986/01/10          17.10          MC
061023         1986/01/11          17.10          MC
061023         1986/01/12          17.10          MC
061023         1986/01/13          17.00          MC
061023         1986/01/14          17.00          MC
