Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2020-09-30, préliminaires par la suite
Station:        061024         Cyriac - à 9 km de son embouchure                                                                                                              
Bassin versant: 350 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 14' 9" // -71° 17' 19"

Date de création du fichier: 2021-10-18 06:39
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
061024         1997/02/10          1.920          R
061024         1997/02/11          1.850          R
061024         1997/02/12          1.810          R
061024         1997/02/13          1.787          R
061024         1997/02/14          1.760          R
061024         1997/02/15          1.728          R
061024         1997/02/16          1.699          R
061024         1997/02/17          1.647          R
061024         1997/02/18          1.626          R
061024         1997/02/19          1.590          R
061024         1997/02/20          1.570          R
061024         1997/02/21          1.538          R
061024         1997/02/22          1.522          R
061024         1997/02/23          1.507          R
061024         1997/02/24          1.495          R
061024         1997/02/25          1.470          R
061024         1997/02/26          1.454          R
061024         1997/02/27          1.438          R
061024         1997/02/28          1.425          R
061024         1997/03/01          1.458          R
061024         1997/03/02          1.835          R
061024         1997/03/03          2.842          R
061024         1997/03/04          2.653          R
061024         1997/03/05          2.477          R
061024         1997/03/06          2.330          R
061024         1997/03/07          2.162          R
061024         1997/03/08          2.037          R
061024         1997/03/09          1.911          R
061024         1997/03/10          1.815          R
061024         1997/03/11          1.747          R
061024         1997/03/12          1.693          R
061024         1997/03/13          1.631          R
061024         1997/03/14          1.570          R
061024         1997/03/15          1.529          R
061024         1997/03/16          1.482          R
061024         1997/03/17          1.444          R
