Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2020-09-30, préliminaires par la suite
Station:        061029         Aux Sables - à 75 m en amont du pont suspendu de Cépal                                                                                         
Bassin versant: 3400 km²       Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 48° 22' 21" // -71° 17' 10"

Date de création du fichier: 2021-04-28 12:53
Particularité(s):
- Les données de cette station peuvent être fusionnées avec celles de la station 061021. En effet, la superficie du bassin versant aux deux stations est identique. De plus, pour des besoins de gestion, à cette station le calcul des données minimums, maximums et médianes historiques est fait en combinant les données de la station 061021 pour la période 1976 à 2007 avec celles de la station 061029.
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
061029         2008/12/17          16.84          MJ
061029         2008/12/18          17.74          MJ
061029         2008/12/19          18.45          MJ
061029         2008/12/20          18.51          MJ
061029         2008/12/21          18.54          MJ
061029         2008/12/22          18.46          MJ
061029         2008/12/23          18.44          MJ
061029         2008/12/24          16.65          MJ
061029         2008/12/25          14.70          MJ
061029         2008/12/26          15.75          MJ
061029         2008/12/27          18.94          MJ
061029         2008/12/28          18.99          MJ
061029         2008/12/29          19.17          MJ
061029         2008/12/30          19.71          MJ
061029         2008/12/31          19.90          MJ
061029         2009/01/01          14.14          MJ
061029         2009/01/02          14.15          MJ
061029         2009/01/03          14.11          MJ
061029         2009/01/04          14.07          MJ
061029         2009/01/05          13.58          MJ
061029         2009/01/06          13.17          MJ
061029         2009/01/07          17.14          MJ
061029         2009/01/08          23.56          MJ
061029         2009/01/09          23.95          MJ
061029         2009/01/10          24.18          MJ
061029         2009/01/11          24.16          MJ
061029         2009/01/12          24.04          MJ
061029         2009/01/13          23.92          MJ
061029         2009/01/14          24.12          MJ
061029         2009/01/15          24.28          MJ
061029         2009/01/16          24.51          MJ
061029         2009/01/17          24.58          MJ
061029         2009/01/18          24.41          MJ
061029         2009/01/19          24.13          MJ
061029         2009/01/20          24.00          MJ
061029         2009/01/21          24.03          MJ
061029         2009/01/22          24.19          MJ
061029         2009/01/23          24.22          MJ
061029         2009/01/24          24.32          MJ
061029         2009/01/25          24.21          MJ
061029         2009/01/26          24.06          MJ
061029         2009/01/27          24.04          MJ
061029         2009/01/28          23.51          MJ
061029         2009/01/29          21.76          MJ
061029         2009/01/30          21.65          MJ
061029         2009/01/31          21.54          MJ
061029         2009/02/01          21.45          MJ
061029         2009/02/02          21.31          MJ
061029         2009/02/03          21.21          MJ
061029         2009/02/04          21.15          MJ
061029         2009/02/05          21.15          MJ
061029         2009/02/06          21.33          MJ
061029         2009/02/07          21.71          MJ
061029         2009/02/08          21.64          MJ
061029         2009/02/09          18.89          MJ
061029         2009/02/10          13.61          MJ
061029         2009/02/11          12.86          MJ
061029         2009/02/12          12.45          MJ
061029         2009/02/13          12.45          MJ
061029         2009/02/14          12.60          MJ
061029         2009/02/15          12.51          MJ
061029         2009/02/16          17.33          MJ
061029         2009/02/17          21.05          MJ
061029         2009/02/18          21.21          MJ
061029         2009/02/19          21.34          MJ
061029         2009/02/20          21.18          MJ
061029         2009/02/21          20.99          MJ
061029         2009/02/22          20.82          MJ
061029         2009/02/23          20.92          MJ
061029         2009/02/24          20.92          MJ
061029         2009/02/25          20.94          MJ
061029         2009/02/26          20.95          MJ
061029         2009/02/27          21.10          MJ
061029         2009/02/28          21.11          MJ
061029         2009/03/01          20.95          MJ
061029         2009/03/02          21.18          MJ
061029         2009/03/03          21.32          MJ
061029         2009/03/04          21.11          MJ
061029         2009/03/05          20.91          MJ
061029         2009/03/06          21.18          MJ
061029         2009/03/07          21.74          MJ
061029         2009/03/08          18.49          MJ
061029         2009/03/09          12.35          MJ
061029         2009/03/10          12.41          MJ
061029         2009/03/11          10.65          MJ
061029         2009/03/12          12.26          MJ
061029         2009/03/13          12.28          MJ
061029         2009/03/14          12.43          MJ
061029         2009/03/15          12.35          MJ
061029         2009/03/16          12.26          MJ
061029         2009/03/17          14.65          MJ
061029         2009/03/18          20.67          MJ
061029         2009/03/19          20.84          MJ
061029         2009/03/20          21.02          MJ
061029         2009/03/21          20.90          MJ
061029         2009/03/22          20.51          MJ
061029         2009/03/23          20.76          MJ
061029         2009/03/24          20.62          MJ
061029         2009/03/25          20.85          MJ
061029         2009/03/26          20.73          MJ
061029         2009/03/27          20.60          MJ
061029         2009/03/28          20.44          MJ
061029         2009/03/29          19.46          MJ
061029         2009/03/30          20.02          MJ
061029         2009/03/31          21.14          MJ
061029         2009/04/01          22.06          MJ
061029         2009/04/02          22.02          MJ
061029         2009/04/03          22.43          MJ
061029         2009/04/04          23.49          MJ
061029         2009/04/05          25.70          MJ
061029         2009/04/06          25.66          MJ
061029         2009/04/07          24.24          MJ
061029         2009/04/08          24.36          MJ
061029         2009/04/09          24.87          MJ
061029         2009/04/10          25.80          MJ
061029         2009/04/11          26.24          MJ
061029         2009/04/12          27.82          MJ
061029         2009/04/13          27.05          MJ
061029         2009/04/14          26.95          MJ
061029         2009/04/15          27.45          MJ
061029         2009/04/16          27.70          MJ
061029         2009/04/17          27.98          MJ
061029         2009/04/18          28.45          MJ
061029         2009/04/19          28.11          MJ
061029         2009/04/20          28.23          MJ
061029         2009/04/21          28.52          MJ
061029         2009/04/22          22.44          MJ
061029         2009/04/23          30.96          MJ
061029         2009/04/24          30.61          MJ
061029         2009/04/25          29.50          MJ
061029         2009/04/26          34.24          MJ
061029         2009/04/27          32.40          MJ
061029         2009/04/28          30.03          MJ
061029         2009/04/29          29.36          MJ
061029         2009/04/30          29.52          MJ
061029         2009/05/01          34.12          MJ
061029         2009/05/02          41.05          MJ
061029         2009/05/03          42.17          MJ
061029         2009/05/04          41.32          MJ
061029         2009/05/05          40.76          MJ
061029         2009/05/06          44.57          MJ
061029         2009/05/07          50.16          MJ
061029         2009/05/08          58.16          MJ
061029         2009/05/09          77.49          MJ
061029         2009/05/10          78.63          MJ
061029         2009/05/11          78.34          MJ
061029         2009/05/12          78.23          MJ
061029         2009/05/13          64.33          MJ
061029         2009/05/14          40.45          MJ
061029         2009/05/15          33.79          MJ
061029         2009/05/16          29.03          MJ
061029         2009/05/17          28.55          MJ
061029         2009/05/18          28.64          MJ
061029         2009/05/19          28.39          MJ
061029         2009/05/20          28.25          MJ
061029         2009/05/21          28.35          MJ
061029         2009/05/22          28.14          MJ
061029         2009/05/23          27.73          MJ
061029         2009/05/24          27.80          MJ
061029         2009/05/25          27.82          MJ
061029         2009/05/26          27.82          MJ
061029         2009/05/27          27.79          MJ
061029         2009/05/28          27.73          MJ
061029         2009/05/29          32.24          MJ
061029         2009/05/30          32.84          MJ
061029         2009/05/31          37.26          MJ
061029         2009/06/01          48.55          MJ
061029         2009/06/02          48.53          MJ
061029         2009/06/03          39.35          MJ
061029         2009/06/04          27.54          MJ
061029         2009/06/05          25.89          MJ
061029         2009/06/06          25.87          MJ
061029         2009/06/07          25.86          MJ
061029         2009/06/08          25.79          MJ
061029         2009/06/09          23.67          MJ
061029         2009/06/10          19.40          MJ
061029         2009/06/11          13.19          MJ
061029         2009/06/12          16.74          MJ
