Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        061602         Ouiatchouan - à 0,3 km en aval du barrage des Commissaires                                                                                     
Bassin versant: 576 km²        Régime: Influencé mensuellement                           
Coordonnées:    (NAD83) 48° 12' 14" // -72° 14' 24"

Date de création du fichier: 2021-04-27 03:03
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
061602         1966/07/22          6.000          MC
061602         1966/07/23          
061602         1966/07/24          
061602         1966/07/25          
061602         1966/07/26          
061602         1966/07/27          
061602         1966/07/28          
061602         1966/07/29          
061602         1966/07/30          
061602         1966/07/31          
061602         1966/08/01          
061602         1966/08/02          
061602         1966/08/03          
061602         1966/08/04          11.00          MC
061602         1966/08/05          11.60          MC
061602         1966/08/06          11.90          MC
061602         1966/08/07          12.00          MC
061602         1966/08/08          12.10          MC
061602         1966/08/09          14.10          MC
061602         1966/08/10          22.20          MC
061602         1966/08/11          27.20          MC
061602         1966/08/12          26.40          MC
061602         1966/08/13          26.20          MC
061602         1966/08/14          25.40          MC
061602         1966/08/15          24.60          MC
061602         1966/08/16          23.80          MC
061602         1966/08/17          23.40          MC
061602         1966/08/18          23.90          MC
061602         1966/08/19          24.70          MC
061602         1966/08/20          24.90          MC
061602         1966/08/21          24.80          MC
061602         1966/08/22          24.20          MC
061602         1966/08/23          20.30          MC
061602         1966/08/24          16.10          MC
061602         1966/08/25          16.20          MC
061602         1966/08/26          16.10          MC
061602         1966/08/27          16.10          MC
061602         1966/08/28          15.90          MC
061602         1966/08/29          15.50          MC
061602         1966/08/30          14.80          MC
061602         1966/08/31          10.10          MC
061602         1966/09/01          6.970          MC
061602         1966/09/02          7.020          MC
061602         1966/09/03          6.990          MC
061602         1966/09/04          6.990          MC
061602         1966/09/05          6.990          MC
061602         1966/09/06          7.080          MC
061602         1966/09/07          7.110          MC
061602         1966/09/08          7.110          MC
061602         1966/09/09          7.110          MC
061602         1966/09/10          7.110          MC
061602         1966/09/11          7.110          MC
061602         1966/09/12          7.110          MC
061602         1966/09/13          7.110          MC
061602         1966/09/14          7.080          MC
061602         1966/09/15          7.020          MC
061602         1966/09/16          7.020          MC
061602         1966/09/17          7.020          MC
061602         1966/09/18          7.020          MC
061602         1966/09/19          6.990          MC
061602         1966/09/20          6.970          MC
061602         1966/09/21          6.970          MC
061602         1966/09/22          6.940          MC
061602         1966/09/23          7.110          MC
061602         1966/09/24          16.40          MC
061602         1966/09/25          33.10          MC
061602         1966/09/26          32.60          MC
061602         1966/09/27          19.80          MC
061602         1966/09/28          9.400          MC
061602         1966/09/29          11.60          MC
061602         1966/09/30          13.30          MC
061602         1966/10/01          13.50          MC
061602         1966/10/02          13.50          MC
061602         1966/10/03          13.60          MC
061602         1966/10/04          13.60          MC
061602         1966/10/05          13.60          MC
061602         1966/10/06          13.60          MC
061602         1966/10/07          13.60          MC
061602         1966/10/08          13.60          MC
061602         1966/10/09          13.80          MC
061602         1966/10/10          14.30          MC
061602         1966/10/11          14.60          MC
061602         1966/10/12          17.90          MC
061602         1966/10/13          20.00          MC
061602         1966/10/14          19.90          MC
061602         1966/10/15          19.50          MC
061602         1966/10/16          19.20          MC
061602         1966/10/17          19.20          MC
061602         1966/10/18          18.70          MC
061602         1966/10/19          18.50          MC
061602         1966/10/20          18.40          MC
061602         1966/10/21          18.40          MC
061602         1966/10/22          17.80          MC
061602         1966/10/23          17.00          MC
