Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2020-09-30, préliminaires par la suite
Station:        061801         Petite rivière Péribonka - à 0,2 km en amont du pont-route 169                                                                                 
Bassin versant: 1020 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 48' 53" // -72° 2' 47"

Date de création du fichier: 2021-04-28 14:14
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
061801         1974/10/16          35.40          MC
061801         1974/10/17          34.80          MC
061801         1974/10/18          37.90          MC
061801         1974/10/19          36.20          MC
061801         1974/10/20          32.80          MC
061801         1974/10/21          29.40          MC
061801         1974/10/22          26.80          MC
061801         1974/10/23          24.90          MC
061801         1974/10/24          22.90          MC
061801         1974/10/25          21.80          MC
061801         1974/10/26          21.50          MC
061801         1974/10/27          20.10          MC
061801         1974/10/28          18.30          MC
061801         1974/10/29          19.60          MC
061801         1974/10/30          22.50          MC
061801         1974/10/31          33.40          MC
061801         1974/11/01          37.40          MC
061801         1974/11/02          39.90          MC
061801         1974/11/03          40.50          MC
061801         1974/11/04          41.90          MC
061801         1974/11/05          40.20          MC
061801         1974/11/06          36.20          MC
061801         1974/11/07          32.80          MC
061801         1974/11/08          29.70          MC
061801         1974/11/09          27.20          MC
061801         1974/11/10          25.00          MC
061801         1974/11/11          23.20          MC
061801         1974/11/12          21.50          MC
061801         1974/11/13          42.80          MC
061801         1974/11/14          53.50          MC
061801         1974/11/15          49.60          MC
061801         1974/11/16          45.00          MC
061801         1974/11/17          40.80          MC
061801         1974/11/18          36.80          MC
061801         1974/11/19          33.10          MC
061801         1974/11/20          29.40          MC
061801         1974/11/21          25.90          MC
061801         1974/11/22          22.10          MC
061801         1974/11/23          21.10          MC
061801         1974/11/24          20.00          MC
061801         1974/11/25          20.90          MC
061801         1974/11/26          26.00          MC
061801         1974/11/27          52.70          MC
061801         1974/11/28          42.80          MC
061801         1974/11/29          24.70          MC
061801         1974/11/30          16.00          MC
061801         1974/12/01          12.50          MC
061801         1974/12/02          11.40          MC
061801         1974/12/03          10.70          R
061801         1974/12/04          10.20          R
061801         1974/12/05          9.850          R
061801         1974/12/06          9.570          R
061801         1974/12/07          9.340          R
061801         1974/12/08          11.60          MC
061801         1974/12/09          30.60          MC
061801         1974/12/10          34.00          MC
061801         1974/12/11          34.30          MC
061801         1974/12/12          30.60          R
061801         1974/12/13          27.50          J
061801         1974/12/14          24.90          R
061801         1974/12/15          22.70          R
061801         1974/12/16          20.40          R
061801         1974/12/17          18.40          R
061801         1974/12/18          17.00          R
061801         1974/12/19          15.70          R
061801         1974/12/20          14.40          R
061801         1974/12/21          13.50          R
061801         1974/12/22          12.20          R
061801         1974/12/23          11.20          R
061801         1974/12/24          10.50          R
061801         1974/12/25          9.710          R
061801         1974/12/26          8.780          R
061801         1974/12/27          8.350          R
061801         1974/12/28          8.040          R
061801         1974/12/29          7.500          R
061801         1974/12/30          7.080          R
061801         1974/12/31          6.740          R
061801         1975/01/01          6.340          R
061801         1975/01/02          5.950          R
061801         1975/01/03          5.610          R
061801         1975/01/04          5.320          R
061801         1975/01/05          5.100          R
061801         1975/01/06          4.810          R
061801         1975/01/07          4.670          R
061801         1975/01/08          4.530          R
061801         1975/01/09          4.470          R
061801         1975/01/10          4.700          R
061801         1975/01/11          5.100          R
061801         1975/01/12          6.230          R
061801         1975/01/13          6.230          R
061801         1975/01/14          5.520          J
061801         1975/01/15          5.270          R
061801         1975/01/16          5.040          R
061801         1975/01/17          4.870          R
061801         1975/01/18          4.670          R
061801         1975/01/19          4.530          R
061801         1975/01/20          4.390          R
061801         1975/01/21          4.280          R
061801         1975/01/22          4.190          R
061801         1975/01/23          4.080          R
061801         1975/01/24          3.960          R
061801         1975/01/25          3.880          R
061801         1975/01/26          3.820          R
061801         1975/01/27          3.770          R
061801         1975/01/28          3.680          R
061801         1975/01/29          3.620          R
061801         1975/01/30          3.570          R
061801         1975/01/31          3.510          R
061801         1975/02/01          3.450          R
061801         1975/02/02          3.400          R
061801         1975/02/03          3.340          R
061801         1975/02/04          3.310          R
061801         1975/02/05          3.280          R
061801         1975/02/06          3.230          R
061801         1975/02/07          3.200          R
061801         1975/02/08          3.170          R
061801         1975/02/09          3.110          R
061801         1975/02/10          3.090          R
061801         1975/02/11          3.060          R
061801         1975/02/12          3.030          R
061801         1975/02/13          3.030          R
061801         1975/02/14          3.000          R
061801         1975/02/15          2.970          R
061801         1975/02/16          2.970          R
061801         1975/02/17          2.940          R
061801         1975/02/18          2.920          R
061801         1975/02/19          2.890          R
061801         1975/02/20          2.920          J
061801         1975/02/21          3.110          R
061801         1975/02/22          3.540          R
061801         1975/02/23          3.620          R
061801         1975/02/24          3.510          R
061801         1975/02/25          3.340          R
061801         1975/02/26          3.280          R
061801         1975/02/27          3.200          R
061801         1975/02/28          3.030          R
061801         1975/03/01          2.920          R
061801         1975/03/02          2.800          R
061801         1975/03/03          2.720          R
061801         1975/03/04          2.660          R
061801         1975/03/05          2.610          R
061801         1975/03/06          2.550          R
061801         1975/03/07          2.520          R
061801         1975/03/08          2.480          R
061801         1975/03/09          2.440          R
061801         1975/03/10          2.410          R
061801         1975/03/11          2.350          R
061801         1975/03/12          2.340          R
061801         1975/03/13          2.340          R
061801         1975/03/14          2.320          R
061801         1975/03/15          2.310          R
061801         1975/03/16          2.320          R
061801         1975/03/17          2.320          R
061801         1975/03/18          2.320          R
061801         1975/03/19          2.720          R
061801         1975/03/20          9.770          R
061801         1975/03/21          14.20          R
061801         1975/03/22          21.80          MC
061801         1975/03/23          18.20          MC
061801         1975/03/24          15.10          MC
061801         1975/03/25          14.80          MC
061801         1975/03/26          13.80          MC
061801         1975/03/27          11.90          MC
061801         1975/03/28          10.60          MC
061801         1975/03/29          9.630          MC
061801         1975/03/30          8.830          MC
061801         1975/03/31          7.960          MC
061801         1975/04/01          7.220          MC
061801         1975/04/02          6.880          MC
061801         1975/04/03          6.000          J
