Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2020-09-30, préliminaires par la suite
Station:        061901         Ashuapmushuan - à la tête de la chute aux Saumons                                                                                              
Bassin versant: 15515 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 41' 8" // -72° 29' 16"

Date de création du fichier: 2021-05-01 08:53
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
061901         1953/07/01          210.0          MC
061901         1953/07/02          203.0          MC
061901         1953/07/03          203.0          MC
061901         1953/07/04          229.0          MC
061901         1953/07/05          317.0          MC
061901         1953/07/06          396.0          MC
061901         1953/07/07          388.0          MC
061901         1953/07/08          365.0          MC
061901         1953/07/09          396.0          MC
061901         1953/07/10          382.0          J
061901         1953/07/11          374.0          MC
061901         1953/07/12          365.0          MC
061901         1953/07/13          337.0          MC
061901         1953/07/14          331.0          MC
061901         1953/07/15          331.0          MC
061901         1953/07/16          317.0          MC
061901         1953/07/17          273.0          MC
061901         1953/07/18          271.0          MC
061901         1953/07/19          282.0          MC
061901         1953/07/20          279.0          MC
061901         1953/07/21          275.0          MC
061901         1953/07/22          283.0          MC
061901         1953/07/23          282.0          MC
061901         1953/07/24          275.0          MC
061901         1953/07/25          266.0          MC
061901         1953/07/26          262.0          MC
061901         1953/07/27          275.0          MC
061901         1953/07/28          283.0          MC
061901         1953/07/29          283.0          MC
061901         1953/07/30          294.0          MC
061901         1953/07/31          256.0          MC
061901         1953/08/01          240.0          MC
061901         1953/08/02          237.0          MC
061901         1953/08/03          229.0          MC
061901         1953/08/04          218.0          MC
061901         1953/08/05          214.0          MC
061901         1953/08/06          203.0          MC
061901         1953/08/07          192.0          MC
061901         1953/08/08          185.0          MC
061901         1953/08/09          176.0          MC
061901         1953/08/10          176.0          MC
061901         1953/08/11          170.0          MC
061901         1953/08/12          165.0          MC
061901         1953/08/13          170.0          MC
061901         1953/08/14          168.0          MC
061901         1953/08/15          154.0          MC
061901         1953/08/16          148.0          MC
061901         1953/08/17          136.0          MC
061901         1953/08/18          129.0          MC
061901         1953/08/19          129.0          MC
061901         1953/08/20          123.0          MC
061901         1953/08/21          118.0          MC
061901         1953/08/22          109.0          MC
061901         1953/08/23          102.0          MC
061901         1953/08/24          97.40          MC
061901         1953/08/25          99.70          J
061901         1953/08/26          97.40          MC
061901         1953/08/27          95.40          MC
061901         1953/08/28          104.0          MC
061901         1953/08/29          106.0          MC
061901         1953/08/30          109.0          MC
061901         1953/08/31          118.0          MC
061901         1953/09/01          123.0          MC
061901         1953/09/02          139.0          MC
061901         1953/09/03          152.0          MC
061901         1953/09/04          172.0          MC
061901         1953/09/05          185.0          MC
061901         1953/09/06          203.0          MC
061901         1953/09/07          218.0          MC
061901         1953/09/08          219.0          MC
061901         1953/09/09          224.0          MC
061901         1953/09/10          232.0          MC
061901         1953/09/11          245.0          MC
061901         1953/09/12          266.0          MC
061901         1953/09/13          279.0          MC
061901         1953/09/14          289.0          MC
061901         1953/09/15          311.0          MC
061901         1953/09/16          331.0          MC
061901         1953/09/17          343.0          MC
061901         1953/09/18          351.0          MC
061901         1953/09/19          343.0          MC
061901         1953/09/20          348.0          MC
061901         1953/09/21          368.0          MC
061901         1953/09/22          379.0          MC
061901         1953/09/23          391.0          MC
061901         1953/09/24          391.0          MC
061901         1953/09/25          377.0          MC
061901         1953/09/26          374.0          MC
061901         1953/09/27          388.0          MC
061901         1953/09/28          388.0          MC
061901         1953/09/29          385.0          MC
061901         1953/09/30          388.0          MC
061901         1953/10/01          379.0          MC
061901         1953/10/02          385.0          MC
061901         1953/10/03          379.0          MC
061901         1953/10/04          385.0          MC
061901         1953/10/05          388.0          MC
061901         1953/10/06          371.0          MC
061901         1953/10/07          357.0          MC
061901         1953/10/08          331.0          MC
061901         1953/10/09          311.0          MC
061901         1953/10/10          300.0          MC
061901         1953/10/11          289.0          MC
061901         1953/10/12          275.0          MC
061901         1953/10/13          266.0          MC
061901         1953/10/14          256.0          MC
061901         1953/10/15          249.0          MC
061901         1953/10/16          240.0          MC
061901         1953/10/17          233.0          MC
061901         1953/10/18          224.0          MC
061901         1953/10/19          216.0          MC
061901         1953/10/20          210.0          MC
061901         1953/10/21          203.0          MC
061901         1953/10/22          202.0          MC
061901         1953/10/23          196.0          MC
061901         1953/10/24          196.0          MC
061901         1953/10/25          192.0          MC
061901         1953/10/26          189.0          MC
061901         1953/10/27          185.0          MC
061901         1953/10/28          182.0          MC
061901         1953/10/29          177.0          MC
061901         1953/10/30          182.0          MC
061901         1953/10/31          185.0          MC
061901         1953/11/01          189.0          MC
061901         1953/11/02          179.0          MC
061901         1953/11/03          176.0          MC
061901         1953/11/04          169.0          MC
061901         1953/11/05          166.0          MC
061901         1953/11/06          166.0          MC
061901         1953/11/07          163.0          MC
