Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2000-10-18
Station:        061910         Cours d'eau numéro 06190549 - à 500 m du lac de la Tirasse                                                                                     
Bassin versant: 3 km²          Régime: Naturel                                           
Coordonnées:    (NAD83) 49° 12' 37" // -73° 39' 4"

Date de création du fichier: 2015-09-23 19:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
061910         1996/10/29          0.023          MC
061910         1996/10/30          0.018          MC
061910         1996/10/31          0.014          MC
061910         1996/11/01          0.012          MC
061910         1996/11/02          0.011          MC
061910         1996/11/03          0.010          MC
061910         1996/11/04          0.009          MC
061910         1996/11/05          0.009          MC
061910         1996/11/06          0.008          MC
061910         1996/11/07          0.009          MC
061910         1996/11/08          0.028          MC
061910         1996/11/09          0.074          MC
061910         1996/11/10          0.078          MC
061910         1996/11/11          0.046          MC
061910         1996/11/12          0.029          MC
061910         1996/11/13          0.021          MC
061910         1996/11/14          0.015          MC
061910         1996/11/15          0.013          MC
061910         1996/11/16          0.011          MC
061910         1996/11/17          0.010          MC
061910         1996/11/18          0.009          MC
061910         1996/11/19          0.009          MC
061910         1996/11/20          0.009          MC
061910         1996/11/21          0.008          MC
061910         1996/11/22          0.008          MC
061910         1996/11/23          0.008          MC
061910         1996/11/24          0.008          MC
061910         1996/11/25          0.008          S
061910         1996/11/26          0.007          MC
061910         1996/11/27          0.006          MC
061910         1996/11/28          0.006          MC
061910         1996/11/29          0.007          MC
061910         1996/11/30          0.007          MC
061910         1996/12/01          0.007          MC
061910         1996/12/02          0.012          MC
061910         1996/12/03          0.014          MC
061910         1996/12/04          0.011          MC
061910         1996/12/05          0.009          MC
061910         1996/12/06          0.009          MC
061910         1996/12/07          0.008          MC
061910         1996/12/08          0.008          MC
061910         1996/12/09          0.008          MC
061910         1996/12/10          0.007          MC
061910         1996/12/11          0.007          MC
061910         1996/12/12          0.006          MC
061910         1996/12/13          0.006          MC
061910         1996/12/14          0.006          MC
061910         1996/12/15          0.006          MC
061910         1996/12/16          0.005          S
061910         1996/12/17          0.004          MC
061910         1996/12/18          0.004          MC
061910         1996/12/19          0.004          MC
061910         1996/12/20          0.004          MC
061910         1996/12/21          0.006          MC
061910         1996/12/22          0.005          MC
061910         1996/12/23          0.004          MC
061910         1996/12/24          0.004          MC
061910         1996/12/25          0.006          MC
061910         1996/12/26          0.019          MC
061910         1996/12/27          0.014          MC
061910         1996/12/28          0.010          MC
061910         1996/12/29          0.005          MC
061910         1996/12/30          0.005          MC
061910         1996/12/31          0.027          MC
061910         1997/01/01          0.025          MC
061910         1997/01/02          0.006          MC
061910         1997/01/03          0.007          MC
061910         1997/01/04          0.006          MC
061910         1997/01/05          0.004          MC
061910         1997/01/06          0.004          MC
061910         1997/01/07          0.004          MC
061910         1997/01/08          0.004          MC
061910         1997/01/09          0.005          MC
061910         1997/01/10          0.004          MC
061910         1997/01/11          0.004          MC
061910         1997/01/12          0.004          MC
061910         1997/01/13          0.004          MC
061910         1997/01/14          0.004          MC
061910         1997/01/15          0.004          MC
061910         1997/01/16          0.004          MC
061910         1997/01/17          0.004          MC
061910         1997/01/18          0.003          MC
061910         1997/01/19          0.003          MC
061910         1997/01/20          0.003          MC
061910         1997/01/21          0.003          MC
061910         1997/01/22          0.003          MC
061910         1997/01/23          0.003          MC
061910         1997/01/24          0.003          MC
061910         1997/01/25          0.003          MC
061910         1997/01/26          0.003          MC
061910         1997/01/27          0.003          MC
061910         1997/01/28          0.003          MC
061910         1997/01/29          0.003          MC
061910         1997/01/30          0.003          MC
061910         1997/01/31          0.003          MC
061910         1997/02/01          0.003          MC
061910         1997/02/02          0.003          MC
061910         1997/02/03          0.003          MC
061910         1997/02/04          0.003          MC
061910         1997/02/05          0.003          MC
061910         1997/02/06          0.003          MC
061910         1997/02/07          0.003          MC
061910         1997/02/08          0.003          MC
061910         1997/02/09          0.003          MC
061910         1997/02/10          0.003          S
061910         1997/02/11          0.002          MC
061910         1997/02/12          0.002          MC
061910         1997/02/13          0.002          MC
061910         1997/02/14          0.002          MC
061910         1997/02/15          0.002          MC
061910         1997/02/16          0.002          MC
061910         1997/02/17          0.002          MC
061910         1997/02/18          0.002          MC
061910         1997/02/19          0.002          MC
061910         1997/02/20          0.002          MC
061910         1997/02/21          0.002          MC
061910         1997/02/22          0.002          MC
061910         1997/02/23          0.002          MC
061910         1997/02/24          0.002          MC
061910         1997/02/25          0.002          MC
061910         1997/02/26          0.002          MC
061910         1997/02/27          0.002          MC
061910         1997/02/28          0.002          MC
061910         1997/03/01          0.002          MC
061910         1997/03/02          0.002          MC
061910         1997/03/03          0.002          S
061910         1997/03/04          0.003          MC
061910         1997/03/05          0.003          MC
