Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2020-09-30, préliminaires par la suite
Station:        062002         Rouge - en amont du ponceau sur la route 169 (rang St-Cyrille)                                                                                 
Bassin versant: 26.8 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 48' 14" // -72° 29' 31"

Date de création du fichier: 2021-10-16 15:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
062002         2009/06/02          0.4074         MJ
062002         2009/06/03          0.3539         MJ
062002         2009/06/04          0.3111         MJ
062002         2009/06/05          0.2861         MJ
062002         2009/06/06          0.2691         MJ
062002         2009/06/07          0.2446         MJ
062002         2009/06/08          0.2292         MJ
062002         2009/06/09          0.2166         J
062002         2009/06/10          0.2154         MJ
062002         2009/06/11          0.2284         MJ
062002         2009/06/12          0.2265         MJ
062002         2009/06/13          0.1957         MJ
062002         2009/06/14          0.1907         MJ
062002         2009/06/15          0.1846         MJ
062002         2009/06/16          0.1813         MJ
062002         2009/06/17          0.1767         MJ
062002         2009/06/18          0.1701         MJ
062002         2009/06/19          0.1563         MJ
062002         2009/06/20          0.1495         MJ
062002         2009/06/21          0.1454         MJ
062002         2009/06/22          0.1421         MJ
062002         2009/06/23          0.1339         MJ
062002         2009/06/24          0.1281         MJ
062002         2009/06/25          0.148          MJ
062002         2009/06/26          0.1538         MJ
062002         2009/06/27          0.1613         MJ
062002         2009/06/28          0.1573         MJ
062002         2009/06/29          0.2682         MJ
062002         2009/06/30          0.316          MJ
062002         2009/07/01          0.2233         MJ
062002         2009/07/02          0.2808         MJ
062002         2009/07/03          0.6588         MJ
062002         2009/07/04          0.9682         MJ
062002         2009/07/05          0.8607         MJ
062002         2009/07/06          0.4951         MJ
062002         2009/07/07          0.4307         MJ
062002         2009/07/08          0.357          MJ
062002         2009/07/09          0.2794         MJ
062002         2009/07/10          0.2317         MJ
062002         2009/07/11          0.2202         MJ
062002         2009/07/12          0.4152         MJ
062002         2009/07/13          0.3176         MJ
062002         2009/07/14          0.2711         MJ
062002         2009/07/15          0.2271         MJ
062002         2009/07/16          0.2099         MJ
062002         2009/07/17          0.3219         MJ
062002         2009/07/18          0.8404         MJ
062002         2009/07/19          1.095          MJ
062002         2009/07/20          0.6022         MJ
062002         2009/07/21          0.4181         MJ
062002         2009/07/22          0.3293         MJ
062002         2009/07/23          0.2817         MJ
062002         2009/07/24          0.247          MJ
062002         2009/07/25          0.2283         MJ
062002         2009/07/26          0.2257         MJ
062002         2009/07/27          0.2408         MJ
062002         2009/07/28          0.2409         MJ
062002         2009/07/29          0.2197         MJ
062002         2009/07/30          0.217          MJ
062002         2009/07/31          0.1911         MJ
062002         2009/08/01          0.176          MJ
062002         2009/08/02          0.1799         MJ
062002         2009/08/03          0.1891         MJ
062002         2009/08/04          0.1931         MJ
062002         2009/08/05          0.4574         MJ
062002         2009/08/06          0.3109         MJ
062002         2009/08/07          0.2916         MJ
062002         2009/08/08          0.2374         MJ
062002         2009/08/09          0.2307         MJ
062002         2009/08/10          0.2874         MJ
062002         2009/08/11          0.2462         MJ
062002         2009/08/12          0.2058         MJ
062002         2009/08/13          0.1831         MJ
062002         2009/08/14          0.1669         MJ
062002         2009/08/15          0.1581         MJ
062002         2009/08/16          0.1695         MJ
062002         2009/08/17          0.1651         MJ
062002         2009/08/18          0.1957         MJ
062002         2009/08/19          0.2227         MJ
062002         2009/08/20          0.1825         MJ
062002         2009/08/21          0.5011         MJ
062002         2009/08/22          0.3575         MJ
062002         2009/08/23          0.2425         MJ
062002         2009/08/24          0.2024         MJ
062002         2009/08/25          0.1852         MJ
062002         2009/08/26          0.1772         MJ
062002         2009/08/27          0.163          MJ
062002         2009/08/28          0.1566         MJ
062002         2009/08/29          0.1544         MJ
062002         2009/08/30          0.3616         MJ
062002         2009/08/31          0.3629         MJ
062002         2009/09/01          0.2454         MJ
062002         2009/09/02          0.2109         MJ
062002         2009/09/03          0.1822         MJ
062002         2009/09/04          0.1737         MJ
062002         2009/09/05          0.1617         MJ
062002         2009/09/06          0.1569         MJ
062002         2009/09/07          0.1519         MJ
062002         2009/09/08          0.1484         MJ
062002         2009/09/09          0.142          MJ
062002         2009/09/10          0.137          MJ
062002         2009/09/11          0.134          MJ
062002         2009/09/12          0.1405         MJ
062002         2009/09/13          0.1936         MJ
062002         2009/09/14          0.1671         MJ
062002         2009/09/15          0.1937         MJ
062002         2009/09/16          0.1693         MJ
062002         2009/09/17          0.1609         MJ
062002         2009/09/18          0.1833         MJ
062002         2009/09/19          0.1536         MJ
062002         2009/09/20          0.1444         MJ
062002         2009/09/21          0.1417         MJ
062002         2009/09/22          0.1743         MJ
062002         2009/09/23          0.1883         J
062002         2009/09/24          0.1991         MJ
062002         2009/09/25          0.1931         MJ
062002         2009/09/26          0.1678         MJ
062002         2009/09/27          0.1677         MJ
062002         2009/09/28          0.2361         MJ
062002         2009/09/29          0.2573         MJ
062002         2009/09/30          0.2182         MJ
062002         2009/10/01          0.1997         MJ
062002         2009/10/02          0.2074         MJ
062002         2009/10/03          0.2049         MJ
062002         2009/10/04          0.2909         MJ
062002         2009/10/05          0.2916         MJ
062002         2009/10/06          0.3962         MJ
062002         2009/10/07          0.3454         MJ
062002         2009/10/08          0.3926         MJ
062002         2009/10/09          0.4036         MJ
062002         2009/10/10          0.3777         MJ
062002         2009/10/11          0.3108         MJ
062002         2009/10/12          0.2832         MJ
062002         2009/10/13          0.2738         MJ
062002         2009/10/14          0.251          MJ
062002         2009/10/15          0.2416         MJ
