Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2004-07-28
Station:        062101         Mistassibi - à 1,6 km de la rivière Mistassini                                                                                                 
Bassin versant: 8680.6 km²     Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 53' 59" // -72° 12' 39"

Date de création du fichier: 2017-08-18 21:37
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
062101         1953/07/17          161.0          J
062101         1953/07/18          152.0          MC
062101         1953/07/19          142.0          MC
062101         1953/07/20          136.0          MC
062101         1953/07/21          144.0          MC
062101         1953/07/22          147.0          MC
062101         1953/07/23          149.0          MC
062101         1953/07/24          148.0          MC
062101         1953/07/25          152.0          MC
062101         1953/07/26          152.0          MC
062101         1953/07/27          135.0          MC
062101         1953/07/28          132.0          MC
062101         1953/07/29          127.0          MC
062101         1953/07/30          123.0          MC
062101         1953/07/31          121.0          MC
062101         1953/08/01          114.0          MC
062101         1953/08/02          109.0          MC
062101         1953/08/03          97.40          MC
062101         1953/08/04          95.40          MC
062101         1953/08/05          93.70          MC
062101         1953/08/06          90.90          MC
062101         1953/08/07          88.30          MC
062101         1953/08/08          86.40          MC
062101         1953/08/09          83.50          MC
062101         1953/08/10          80.40          MC
062101         1953/08/11          77.60          MC
062101         1953/08/12          75.90          E
062101         1953/08/13          73.10          E
062101         1953/08/14          70.50          E
062101         1953/08/15          68.00          E
062101         1953/08/16          65.10          E
062101         1953/08/17          62.30          E
062101         1953/08/18          59.20          E
062101         1953/08/19          56.40          E
062101         1953/08/20          55.20          E
062101         1953/08/21          55.50          MC
062101         1953/08/22          56.10          MC
062101         1953/08/23          55.80          MC
062101         1953/08/24          55.50          MC
062101         1953/08/25          54.40          MC
062101         1953/08/26          54.40          MC
062101         1953/08/27          52.70          MC
062101         1953/08/28          52.70          MC
062101         1953/08/29          55.20          MC
062101         1953/08/30          57.50          MC
062101         1953/08/31          64.00          MC
062101         1953/09/01          86.90          MC
062101         1953/09/02          120.0          MC
062101         1953/09/03          193.0          MC
062101         1953/09/04          294.0          MC
062101         1953/09/05          309.0          MC
062101         1953/09/06          257.0          MC
062101         1953/09/07          241.0          MC
062101         1953/09/08          240.0          MC
062101         1953/09/09          248.0          MC
062101         1953/09/10          239.0          MC
062101         1953/09/11          219.0          MC
062101         1953/09/12          204.0          MC
062101         1953/09/13          191.0          MC
062101         1953/09/14          201.0          MC
062101         1953/09/15          242.0          MC
062101         1953/09/16          271.0          MC
062101         1953/09/17          268.0          MC
062101         1953/09/18          250.0          MC
062101         1953/09/19          222.0          MC
062101         1953/09/20          220.0          MC
062101         1953/09/21          224.0          MC
062101         1953/09/22          297.0          MC
062101         1953/09/23          323.0          MC
062101         1953/09/24          306.0          MC
062101         1953/09/25          294.0          MC
062101         1953/09/26          282.0          MC
062101         1953/09/27          251.0          MC
062101         1953/09/28          279.0          MC
062101         1953/09/29          306.0          MC
062101         1953/09/30          300.0          MC
062101         1953/10/01          283.0          MC
062101         1953/10/02          272.0          MC
062101         1953/10/03          249.0          MC
062101         1953/10/04          243.0          MC
062101         1953/10/05          243.0          MC
062101         1953/10/06          236.0          MC
062101         1953/10/07          225.0          MC
062101         1953/10/08          222.0          MC
062101         1953/10/09          219.0          MC
062101         1953/10/10          210.0          MC
062101         1953/10/11          205.0          MC
062101         1953/10/12          206.0          MC
062101         1953/10/13          199.0          MC
062101         1953/10/14          188.0          MC
062101         1953/10/15          170.0          MC
062101         1953/10/16          172.0          MC
062101         1953/10/17          163.0          MC
062101         1953/10/18          160.0          MC
062101         1953/10/19          139.0          MC
062101         1953/10/20          119.0          MC
062101         1953/10/21          116.0          MC
062101         1953/10/22          113.0          MC
062101         1953/10/23          109.0          MC
062101         1953/10/24          107.0          MC
062101         1953/10/25          108.0          MC
062101         1953/10/26          108.0          MC
062101         1953/10/27          106.0          MC
062101         1953/10/28          105.0          MC
062101         1953/10/29          103.0          MC
062101         1953/10/30          98.80          MC
062101         1953/10/31          95.10          MC
062101         1953/11/01          91.50          MC
062101         1953/11/02          88.10          MC
062101         1953/11/03          85.20          MC
062101         1953/11/04          82.40          MC
062101         1953/11/05          80.10          MC
062101         1953/11/06          77.60          MC
062101         1953/11/07          75.30          MC
062101         1953/11/08          73.10          MC
062101         1953/11/09          
062101         1953/11/10          
062101         1953/11/11          
062101         1953/11/12          
062101         1953/11/13          
062101         1953/11/14          
062101         1953/11/15          
062101         1953/11/16          
062101         1953/11/17          
062101         1953/11/18          
062101         1953/11/19          
062101         1953/11/20          
062101         1953/11/21          
062101         1953/11/22          
062101         1953/11/23          
062101         1953/11/24          
062101         1953/11/25          
062101         1953/11/26          
062101         1953/11/27          
062101         1953/11/28          
062101         1953/11/29          
062101         1953/11/30          
062101         1953/12/01          
062101         1953/12/02          
062101         1953/12/03          
062101         1953/12/04          
062101         1953/12/05          
062101         1953/12/06          
062101         1953/12/07          
062101         1953/12/08          
062101         1953/12/09          
062101         1953/12/10          
062101         1953/12/11          
062101         1953/12/12          
062101         1953/12/13          
062101         1953/12/14          
062101         1953/12/15          
062101         1953/12/16          
062101         1953/12/17          
062101         1953/12/18          
062101         1953/12/19          
062101         1953/12/20          
062101         1953/12/21          
062101         1953/12/22          
062101         1953/12/23          
062101         1953/12/24          
062101         1953/12/25          
062101         1953/12/26          
062101         1953/12/27          
062101         1953/12/28          
062101         1953/12/29          
062101         1953/12/30          
062101         1953/12/31          
062101         1954/01/01          
062101         1954/01/02          
062101         1954/01/03          
062101         1954/01/04          
062101         1954/01/05          
062101         1954/01/06          
062101         1954/01/07          
062101         1954/01/08          
062101         1954/01/09          
062101         1954/01/10          
062101         1954/01/11          
062101         1954/01/12          
062101         1954/01/13          
062101         1954/01/14          
062101         1954/01/15          
062101         1954/01/16          
062101         1954/01/17          
062101         1954/01/18          
062101         1954/01/19          
062101         1954/01/20          
062101         1954/01/21          
062101         1954/01/22          
062101         1954/01/23          
062101         1954/01/24          
062101         1954/01/25          
062101         1954/01/26          
062101         1954/01/27          
062101         1954/01/28          
062101         1954/01/29          
062101         1954/01/30          
062101         1954/01/31          
062101         1954/02/01          
062101         1954/02/02          
062101         1954/02/03          
062101         1954/02/04          
062101         1954/02/05          
062101         1954/02/06          
062101         1954/02/07          
062101         1954/02/08          
062101         1954/02/09          
062101         1954/02/10          
062101         1954/02/11          
062101         1954/02/12          
062101         1954/02/13          
062101         1954/02/14          
062101         1954/02/15          
062101         1954/02/16          
062101         1954/02/17          
062101         1954/02/18          
062101         1954/02/19          
062101         1954/02/20          
062101         1954/02/21          
062101         1954/02/22          
062101         1954/02/23          
062101         1954/02/24          
062101         1954/02/25          
062101         1954/02/26          
062101         1954/02/27          
062101         1954/02/28          
062101         1954/03/01          
062101         1954/03/02          
062101         1954/03/03          
062101         1954/03/04          
062101         1954/03/05          
062101         1954/03/06          
062101         1954/03/07          
062101         1954/03/08          
062101         1954/03/09          
062101         1954/03/10          
062101         1954/03/11          
062101         1954/03/12          
062101         1954/03/13          
062101         1954/03/14          
062101         1954/03/15          
062101         1954/03/16          
062101         1954/03/17          
062101         1954/03/18          
062101         1954/03/19          
062101         1954/03/20          
062101         1954/03/21          
062101         1954/03/22          
062101         1954/03/23          
062101         1954/03/24          
062101         1954/03/25          
062101         1954/03/26          
062101         1954/03/27          
062101         1954/03/28          
062101         1954/03/29          
062101         1954/03/30          
062101         1954/03/31          
062101         1954/04/01          
062101         1954/04/02          
062101         1954/04/03          
062101         1954/04/04          
062101         1954/04/05          
062101         1954/04/06          
062101         1954/04/07          
062101         1954/04/08          
062101         1954/04/09          
062101         1954/04/10          
062101         1954/04/11          
062101         1954/04/12          
062101         1954/04/13          
062101         1954/04/14          
062101         1954/04/15          
062101         1954/04/16          
062101         1954/04/17          
062101         1954/04/18          
062101         1954/04/19          
062101         1954/04/20          
062101         1954/04/21          
062101         1954/04/22          
062101         1954/04/23          
062101         1954/04/24          
062101         1954/04/25          
062101         1954/04/26          
062101         1954/04/27          
062101         1954/04/28          
062101         1954/04/29          
062101         1954/04/30          
062101         1954/05/01          
062101         1954/05/02          
062101         1954/05/03          
062101         1954/05/04          
062101         1954/05/05          
062101         1954/05/06          
062101         1954/05/07          
062101         1954/05/08          
062101         1954/05/09          
062101         1954/05/10          
062101         1954/05/11          
062101         1954/05/12          
062101         1954/05/13          
062101         1954/05/14          
062101         1954/05/15          
062101         1954/05/16          
062101         1954/05/17          
062101         1954/05/18          
062101         1954/05/19          
062101         1954/05/20          
062101         1954/05/21          
062101         1954/05/22          
062101         1954/05/23          
062101         1954/05/24          
062101         1954/05/25          
062101         1954/05/26          
062101         1954/05/27          
062101         1954/05/28          
062101         1954/05/29          
062101         1954/05/30          
062101         1954/05/31          
062101         1954/06/01          
062101         1954/06/02          
062101         1954/06/03          
062101         1954/06/04          
062101         1954/06/05          
062101         1954/06/06          
062101         1954/06/07          
062101         1954/06/08          
062101         1954/06/09          
062101         1954/06/10          
062101         1954/06/11          
062101         1954/06/12          
062101         1954/06/13          
062101         1954/06/14          
062101         1954/06/15          
062101         1954/06/16          
062101         1954/06/17          
062101         1954/06/18          
062101         1954/06/19          
062101         1954/06/20          
062101         1954/06/21          
062101         1954/06/22          
062101         1954/06/23          
062101         1954/06/24          
062101         1954/06/25          
062101         1954/06/26          
062101         1954/06/27          
062101         1954/06/28          
062101         1954/06/29          
062101         1954/06/30          
062101         1954/07/01          
062101         1954/07/02          
062101         1954/07/03          
062101         1954/07/04          
062101         1954/07/05          
062101         1954/07/06          
062101         1954/07/07          
062101         1954/07/08          
062101         1954/07/09          
062101         1954/07/10          
062101         1954/07/11          
062101         1954/07/12          
062101         1954/07/13          
062101         1954/07/14          
062101         1954/07/15          
062101         1954/07/16          
062101         1954/07/17          
062101         1954/07/18          
062101         1954/07/19          
062101         1954/07/20          
062101         1954/07/21          
062101         1954/07/22          
062101         1954/07/23          
062101         1954/07/24          
062101         1954/07/25          
062101         1954/07/26          
062101         1954/07/27          
062101         1954/07/28          
062101         1954/07/29          
062101         1954/07/30          
062101         1954/07/31          
062101         1954/08/01          
062101         1954/08/02          
062101         1954/08/03          
062101         1954/08/04          
062101         1954/08/05          
062101         1954/08/06          
062101         1954/08/07          
062101         1954/08/08          
062101         1954/08/09          
062101         1954/08/10          
062101         1954/08/11          
062101         1954/08/12          
062101         1954/08/13          
062101         1954/08/14          
062101         1954/08/15          
062101         1954/08/16          
062101         1954/08/17          
062101         1954/08/18          
062101         1954/08/19          
062101         1954/08/20          
062101         1954/08/21          
062101         1954/08/22          
062101         1954/08/23          
062101         1954/08/24          
062101         1954/08/25          
062101         1954/08/26          
062101         1954/08/27          
062101         1954/08/28          
062101         1954/08/29          
062101         1954/08/30          
062101         1954/08/31          
062101         1954/09/01          
062101         1954/09/02          
062101         1954/09/03          
062101         1954/09/04          
062101         1954/09/05          
062101         1954/09/06          
062101         1954/09/07          
062101         1954/09/08          
062101         1954/09/09          
062101         1954/09/10          
062101         1954/09/11          
062101         1954/09/12          
062101         1954/09/13          
062101         1954/09/14          
062101         1954/09/15          
062101         1954/09/16          
062101         1954/09/17          
062101         1954/09/18          
062101         1954/09/19          
062101         1954/09/20          
062101         1954/09/21          
062101         1954/09/22          
062101         1954/09/23          
062101         1954/09/24          
062101         1954/09/25          
062101         1954/09/26          
062101         1954/09/27          
062101         1954/09/28          
062101         1954/09/29          
062101         1954/09/30          
062101         1954/10/01          
062101         1954/10/02          
062101         1954/10/03          
062101         1954/10/04          
062101         1954/10/05          
062101         1954/10/06          
062101         1954/10/07          
062101         1954/10/08          
062101         1954/10/09          
062101         1954/10/10          
062101         1954/10/11          
062101         1954/10/12          
062101         1954/10/13          
062101         1954/10/14          
062101         1954/10/15          
062101         1954/10/16          
062101         1954/10/17          
062101         1954/10/18          
062101         1954/10/19          
062101         1954/10/20          
062101         1954/10/21          
062101         1954/10/22          
062101         1954/10/23          
062101         1954/10/24          
062101         1954/10/25          
062101         1954/10/26          
062101         1954/10/27          
062101         1954/10/28          
062101         1954/10/29          
062101         1954/10/30          
062101         1954/10/31          
062101         1954/11/01          
062101         1954/11/02          
062101         1954/11/03          
062101         1954/11/04          
062101         1954/11/05          
062101         1954/11/06          
062101         1954/11/07          
062101         1954/11/08          
062101         1954/11/09          
062101         1954/11/10          
062101         1954/11/11          
062101         1954/11/12          
062101         1954/11/13          
062101         1954/11/14          
062101         1954/11/15          
062101         1954/11/16          
062101         1954/11/17          
062101         1954/11/18          
062101         1954/11/19          
062101         1954/11/20          
062101         1954/11/21          
062101         1954/11/22          
062101         1954/11/23          
062101         1954/11/24          
062101         1954/11/25          
062101         1954/11/26          
062101         1954/11/27          
062101         1954/11/28          
062101         1954/11/29          
062101         1954/11/30          
062101         1954/12/01          
062101         1954/12/02          
062101         1954/12/03          
062101         1954/12/04          
062101         1954/12/05          
062101         1954/12/06          
062101         1954/12/07          
062101         1954/12/08          
062101         1954/12/09          
062101         1954/12/10          
062101         1954/12/11          
062101         1954/12/12          
062101         1954/12/13          
062101         1954/12/14          
062101         1954/12/15          
062101         1954/12/16          
062101         1954/12/17          
062101         1954/12/18          
062101         1954/12/19          
062101         1954/12/20          
062101         1954/12/21          
062101         1954/12/22          
062101         1954/12/23          
062101         1954/12/24          
062101         1954/12/25          
062101         1954/12/26          
062101         1954/12/27          
062101         1954/12/28          
062101         1954/12/29          
062101         1954/12/30          
062101         1954/12/31          
062101         1955/01/01          
062101         1955/01/02          
062101         1955/01/03          
062101         1955/01/04          
062101         1955/01/05          
062101         1955/01/06          
062101         1955/01/07          
062101         1955/01/08          
062101         1955/01/09          
062101         1955/01/10          
062101         1955/01/11          
062101         1955/01/12          
062101         1955/01/13          
062101         1955/01/14          
062101         1955/01/15          
062101         1955/01/16          
062101         1955/01/17          
062101         1955/01/18          
062101         1955/01/19          
062101         1955/01/20          
062101         1955/01/21          
062101         1955/01/22          
062101         1955/01/23          
062101         1955/01/24          
062101         1955/01/25          
062101         1955/01/26          
062101         1955/01/27          
062101         1955/01/28          
062101         1955/01/29          
062101         1955/01/30          
062101         1955/01/31          
062101         1955/02/01          
062101         1955/02/02          
062101         1955/02/03          
062101         1955/02/04          
062101         1955/02/05          
062101         1955/02/06          
062101         1955/02/07          
062101         1955/02/08          
062101         1955/02/09          
062101         1955/02/10          
062101         1955/02/11          
062101         1955/02/12          
062101         1955/02/13          
062101         1955/02/14          
062101         1955/02/15          
062101         1955/02/16          
062101         1955/02/17          
062101         1955/02/18          
062101         1955/02/19          
062101         1955/02/20          
062101         1955/02/21          
062101         1955/02/22          
062101         1955/02/23          
062101         1955/02/24          
062101         1955/02/25          
062101         1955/02/26          
062101         1955/02/27          
062101         1955/02/28          
062101         1955/03/01          
062101         1955/03/02          
062101         1955/03/03          
062101         1955/03/04          
062101         1955/03/05          
062101         1955/03/06          
062101         1955/03/07          
062101         1955/03/08          
062101         1955/03/09          
062101         1955/03/10          
062101         1955/03/11          
062101         1955/03/12          
062101         1955/03/13          
062101         1955/03/14          
062101         1955/03/15          
062101         1955/03/16          
062101         1955/03/17          
062101         1955/03/18          
062101         1955/03/19          
062101         1955/03/20          
062101         1955/03/21          
062101         1955/03/22          
062101         1955/03/23          
062101         1955/03/24          
062101         1955/03/25          
062101         1955/03/26          
062101         1955/03/27          
062101         1955/03/28          
062101         1955/03/29          
062101         1955/03/30          
062101         1955/03/31          
062101         1955/04/01          
062101         1955/04/02          
062101         1955/04/03          
062101         1955/04/04          
062101         1955/04/05          
062101         1955/04/06          
062101         1955/04/07          
062101         1955/04/08          
062101         1955/04/09          
062101         1955/04/10          
062101         1955/04/11          
062101         1955/04/12          
062101         1955/04/13          
062101         1955/04/14          
062101         1955/04/15          
062101         1955/04/16          
062101         1955/04/17          
062101         1955/04/18          
062101         1955/04/19          
062101         1955/04/20          
062101         1955/04/21          
062101         1955/04/22          
062101         1955/04/23          
062101         1955/04/24          
062101         1955/04/25          
062101         1955/04/26          
062101         1955/04/27          
062101         1955/04/28          
062101         1955/04/29          
062101         1955/04/30          
062101         1955/05/01          
062101         1955/05/02          
062101         1955/05/03          
062101         1955/05/04          
062101         1955/05/05          
062101         1955/05/06          
062101         1955/05/07          
062101         1955/05/08          
062101         1955/05/09          
062101         1955/05/10          
062101         1955/05/11          592.0          MC
062101         1955/05/12          527.0          MC
062101         1955/05/13          467.0          MC
062101         1955/05/14          422.0          MC
062101         1955/05/15          416.0          MC
062101         1955/05/16          388.0          MC
062101         1955/05/17          394.0          MC
062101         1955/05/18          394.0          MC
062101         1955/05/19          351.0          MC
062101         1955/05/20          331.0          MC
062101         1955/05/21          343.0          MC
062101         1955/05/22          311.0          MC
062101         1955/05/23          306.0          MC
062101         1955/05/24          306.0          MC
062101         1955/05/25          314.0          MC
062101         1955/05/26          371.0          MC
062101         1955/05/27          394.0          MC
062101         1955/05/28          337.0          MC
062101         1955/05/29          300.0          MC
062101         1955/05/30          340.0          MC
062101         1955/05/31          379.0          MC
062101         1955/06/01          371.0          MC
062101         1955/06/02          345.0          MC
062101         1955/06/03          309.0          MC
062101         1955/06/04          289.0          MC
062101         1955/06/05          242.0          MC
062101         1955/06/06          211.0          MC
062101         1955/06/07          208.0          MC
062101         1955/06/08          159.0          MC
062101         1955/06/09          144.0          MC
062101         1955/06/10          124.0          MC
062101         1955/06/11          119.0          E
062101         1955/06/12          116.0          E
062101         1955/06/13          113.0          E
062101         1955/06/14          111.0          E
062101         1955/06/15          110.0          E
062101         1955/06/16          109.0          MC
062101         1955/06/17          101.0          MC
062101         1955/06/18          94.30          MC
062101         1955/06/19          83.80          MC
062101         1955/06/20          79.90          MC
062101         1955/06/21          73.30          MC
062101         1955/06/22          68.20          MC
062101         1955/06/23          66.30          MC
062101         1955/06/24          71.40          MC
062101         1955/06/25          79.90          MC
062101         1955/06/26          85.20          MC
062101         1955/06/27          85.20          MC
062101         1955/06/28          83.80          MC
062101         1955/06/29          91.70          MC
062101         1955/06/30          83.80          MC
062101         1955/07/01          71.40          MC
062101         1955/07/02          70.20          MC
062101         1955/07/03          72.50          MC
062101         1955/07/04          78.40          MC
062101         1955/07/05          82.10          MC
062101         1955/07/06          87.80          MC
062101         1955/07/07          81.60          MC
062101         1955/07/08          77.00          MC
062101         1955/07/09          76.50          E
062101         1955/07/10          73.60          E
062101         1955/07/11          70.50          E
062101         1955/07/12          68.50          E
062101         1955/07/13          67.40          E
062101         1955/07/14          65.40          E
062101         1955/07/15          65.10          MC
062101         1955/07/16          65.40          MC
062101         1955/07/17          63.40          MC
062101         1955/07/18          64.60          MC
062101         1955/07/19          66.00          MC
062101         1955/07/20          64.00          MC
062101         1955/07/21          66.80          MC
062101         1955/07/22          68.00          MC
062101         1955/07/23          77.60          MC
062101         1955/07/24          64.60          MC
062101         1955/07/25          107.0          MC
062101         1955/07/26          115.0          MC
062101         1955/07/27          109.0          MC
062101         1955/07/28          101.0          MC
062101         1955/07/29          87.80          MC
062101         1955/07/30          80.10          MC
062101         1955/07/31          76.50          MC
062101         1955/08/01          73.10          MC
062101         1955/08/02          69.40          MC
062101         1955/08/03          66.80          MC
062101         1955/08/04          66.00          MC
062101         1955/08/05          64.60          MC
062101         1955/08/06          58.30          MC
062101         1955/08/07          58.60          MC
062101         1955/08/08          58.60          MC
062101         1955/08/09          60.30          MC
062101         1955/08/10          61.40          MC
062101         1955/08/11          62.00          MC
062101         1955/08/12          62.00          MC
062101         1955/08/13          62.00          MC
062101         1955/08/14          61.20          MC
062101         1955/08/15          58.60          MC
062101         1955/08/16          58.30          MC
062101         1955/08/17          57.80          E
062101         1955/08/18          57.80          MC
062101         1955/08/19          58.00          MC
062101         1955/08/20          58.30          E
062101         1955/08/21          58.60          MC
062101         1955/08/22          59.70          MC
062101         1955/08/23          60.60          MC
062101         1955/08/24          62.00          MC
062101         1955/08/25          62.00          MC
062101         1955/08/26          63.40          MC
062101         1955/08/27          64.30          MC
062101         1955/08/28          64.30          MC
062101         1955/08/29          64.00          MC
062101         1955/08/30          64.00          MC
062101         1955/08/31          64.00          MC
062101         1955/09/01          64.80          MC
062101         1955/09/02          68.20          MC
062101         1955/09/03          73.30          MC
062101         1955/09/04          86.40          MC
062101         1955/09/05          90.00          MC
062101         1955/09/06          94.60          MC
062101         1955/09/07          94.60          MC
062101         1955/09/08          92.00          MC
062101         1955/09/09          89.50          MC
062101         1955/09/10          89.50          MC
062101         1955/09/11          92.60          MC
062101         1955/09/12          95.10          MC
062101         1955/09/13          104.0          MC
062101         1955/09/14          111.0          MC
062101         1955/09/15          111.0          MC
062101         1955/09/16          110.0          MC
062101         1955/09/17          109.0          MC
062101         1955/09/18          114.0          MC
062101         1955/09/19          138.0          MC
062101         1955/09/20          158.0          MC
062101         1955/09/21          182.0          MC
062101         1955/09/22          187.0          MC
062101         1955/09/23          182.0          MC
062101         1955/09/24          173.0          MC
062101         1955/09/25          167.0          MC
062101         1955/09/26          162.0          MC
062101         1955/09/27          162.0          MC
062101         1955/09/28          159.0          MC
062101         1955/09/29          157.0          MC
062101         1955/09/30          158.0          MC
062101         1955/10/01          170.0          MC
062101         1955/10/02          211.0          MC
062101         1955/10/03          300.0          MC
062101         1955/10/04          309.0          MC
062101         1955/10/05          289.0          MC
062101         1955/10/06          272.0          MC
062101         1955/10/07          258.0          MC
062101         1955/10/08          247.0          MC
062101         1955/10/09          271.0          MC
062101         1955/10/10          311.0          MC
062101         1955/10/11          300.0          MC
062101         1955/10/12          281.0          MC
062101         1955/10/13          255.0          MC
062101         1955/10/14          234.0          MC
062101         1955/10/15          213.0          MC
062101         1955/10/16          205.0          MC
062101         1955/10/17          187.0          MC
062101         1955/10/18          173.0          MC
062101         1955/10/19          163.0          MC
062101         1955/10/20          158.0          MC
062101         1955/10/21          152.0          MC
062101         1955/10/22          146.0          MC
062101         1955/10/23          140.0          MC
062101         1955/10/24          140.0          MC
062101         1955/10/25          149.0          MC
062101         1955/10/26          189.0          MC
062101         1955/10/27          289.0          MC
062101         1955/10/28          286.0          MC
062101         1955/10/29          286.0          MC
062101         1955/10/30          253.0          MC
062101         1955/10/31          264.0          MC
062101         1955/11/01          261.0          MC
062101         1955/11/02          270.0          MC
062101         1955/11/03          309.0          MC
062101         1955/11/04          323.0          MC
062101         1955/11/05          326.0          MC
062101         1955/11/06          326.0          MC
062101         1955/11/07          326.0          MC
062101         1955/11/08          326.0          MC
062101         1955/11/09          334.0          MC
062101         1955/11/10          340.0          MC
062101         1955/11/11          340.0          MC
062101         1955/11/12          323.0          MC
062101         1955/11/13          294.0          MC
062101         1955/11/14          272.0          MC
062101         1955/11/15          253.0          MC
062101         1955/11/16          234.0          MC
062101         1955/11/17          223.0          MC
062101         1955/11/18          213.0          MC
062101         1955/11/19          207.0          MC
062101         1955/11/20          185.0          MC
062101         1955/11/21          
062101         1955/11/22          
062101         1955/11/23          
062101         1955/11/24          
062101         1955/11/25          
062101         1955/11/26          
062101         1955/11/27          
062101         1955/11/28          
062101         1955/11/29          
062101         1955/11/30          
062101         1955/12/01          
062101         1955/12/02          
062101         1955/12/03          
062101         1955/12/04          
062101         1955/12/05          
062101         1955/12/06          
062101         1955/12/07          
062101         1955/12/08          
062101         1955/12/09          
062101         1955/12/10          
062101         1955/12/11          
062101         1955/12/12          
062101         1955/12/13          
062101         1955/12/14          
062101         1955/12/15          
062101         1955/12/16          
062101         1955/12/17          
062101         1955/12/18          
062101         1955/12/19          
062101         1955/12/20          
062101         1955/12/21          
062101         1955/12/22          
062101         1955/12/23          
062101         1955/12/24          
062101         1955/12/25          
062101         1955/12/26          
062101         1955/12/27          
062101         1955/12/28          
062101         1955/12/29          
062101         1955/12/30          
062101         1955/12/31          
062101         1956/01/01          
062101         1956/01/02          
062101         1956/01/03          
062101         1956/01/04          
062101         1956/01/05          
062101         1956/01/06          
062101         1956/01/07          
062101         1956/01/08          
062101         1956/01/09          
062101         1956/01/10          
062101         1956/01/11          
062101         1956/01/12          
062101         1956/01/13          
062101         1956/01/14          
062101         1956/01/15          
062101         1956/01/16          
062101         1956/01/17          
062101         1956/01/18          
062101         1956/01/19          
062101         1956/01/20          
062101         1956/01/21          
062101         1956/01/22          
062101         1956/01/23          
062101         1956/01/24          
062101         1956/01/25          
062101         1956/01/26          
062101         1956/01/27          
062101         1956/01/28          
062101         1956/01/29          
062101         1956/01/30          
062101         1956/01/31          
062101         1956/02/01          
062101         1956/02/02          
062101         1956/02/03          
062101         1956/02/04          
062101         1956/02/05          
062101         1956/02/06          
062101         1956/02/07          
062101         1956/02/08          
062101         1956/02/09          
062101         1956/02/10          
062101         1956/02/11          
062101         1956/02/12          
062101         1956/02/13          
062101         1956/02/14          
062101         1956/02/15          
062101         1956/02/16          
062101         1956/02/17          
062101         1956/02/18          
062101         1956/02/19          
062101         1956/02/20          
062101         1956/02/21          
062101         1956/02/22          
062101         1956/02/23          
062101         1956/02/24          
062101         1956/02/25          
062101         1956/02/26          
062101         1956/02/27          
062101         1956/02/28          
062101         1956/02/29          
062101         1956/03/01          
062101         1956/03/02          
062101         1956/03/03          
062101         1956/03/04          
062101         1956/03/05          
062101         1956/03/06          
062101         1956/03/07          
062101         1956/03/08          
062101         1956/03/09          
062101         1956/03/10          
062101         1956/03/11          
