Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2020-09-30, préliminaires par la suite
Station:        062102         Mistassini - à 3,4 km en amont de la rivière Mistassibi                                                                                        
Bassin versant: 9631 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 53' 19" // -72° 16' 21"

Date de création du fichier: 2021-10-18 14:50
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
062102         1953/07/16          184.0          J
062102         1953/07/17          200.0          MC
062102         1953/07/18          187.0          MC
062102         1953/07/19          182.0          MC
062102         1953/07/20          178.0          MC
062102         1953/07/21          180.0          MC
062102         1953/07/22          191.0          MC
062102         1953/07/23          191.0          MC
062102         1953/07/24          194.0          MC
062102         1953/07/25          170.0          MC
062102         1953/07/26          166.0          MC
062102         1953/07/27          142.0          MC
062102         1953/07/28          135.0          MC
062102         1953/07/29          142.0          MC
062102         1953/07/30          130.0          MC
062102         1953/07/31          131.0          MC
062102         1953/08/01          121.0          MC
062102         1953/08/02          108.0          MC
062102         1953/08/03          104.0          MC
062102         1953/08/04          98.30          MC
062102         1953/08/05          98.30          MC
062102         1953/08/06          98.30          MC
062102         1953/08/07          98.30          MC
062102         1953/08/08          98.30          MC
062102         1953/08/09          95.40          MC
062102         1953/08/10          91.20          MC
062102         1953/08/11          83.80          MC
062102         1953/08/12          73.30          MC
062102         1953/08/13          66.00          MC
062102         1953/08/14          66.00          MC
062102         1953/08/15          62.00          MC
062102         1953/08/16          57.50          MC
062102         1953/08/17          53.20          MC
062102         1953/08/18          52.40          MC
062102         1953/08/19          52.40          MC
062102         1953/08/20          48.40          MC
062102         1953/08/21          48.40          MC
062102         1953/08/22          48.40          MC
062102         1953/08/23          48.40          MC
062102         1953/08/24          48.40          MC
062102         1953/08/25          48.40          MC
062102         1953/08/26          52.40          MC
062102         1953/08/27          52.40          J
062102         1953/08/28          52.40          MC
062102         1953/08/29          50.40          MC
062102         1953/08/30          54.70          MC
062102         1953/08/31          73.30          MC
062102         1953/09/01          98.30          MC
062102         1953/09/02          131.0          MC
062102         1953/09/03          174.0          MC
062102         1953/09/04          229.0          MC
062102         1953/09/05          233.0          MC
062102         1953/09/06          233.0          MC
062102         1953/09/07          231.0          MC
062102         1953/09/08          219.0          MC
062102         1953/09/09          214.0          MC
062102         1953/09/10          222.0          MC
062102         1953/09/11          229.0          MC
062102         1953/09/12          229.0          MC
062102         1953/09/13          233.0          MC
062102         1953/09/14          249.0          MC
062102         1953/09/15          294.0          MC
062102         1953/09/16          340.0          MC
062102         1953/09/17          614.0          MC
062102         1953/09/18          453.0          MC
062102         1953/09/19          270.0          MC
062102         1953/09/20          275.0          MC
062102         1953/09/21          297.0          MC
062102         1953/09/22          345.0          MC
062102         1953/09/23          345.0          MC
062102         1953/09/24          433.0          MC
062102         1953/09/25          385.0          MC
062102         1953/09/26          264.0          MC
062102         1953/09/27          209.0          MC
062102         1953/09/28          303.0          MC
062102         1953/09/29          320.0          MC
062102         1953/09/30          320.0          MC
062102         1953/10/01          320.0          MC
062102         1953/10/02          309.0          MC
062102         1953/10/03          286.0          MC
062102         1953/10/04          275.0          MC
062102         1953/10/05          264.0          MC
062102         1953/10/06          259.0          MC
062102         1953/10/07          238.0          MC
062102         1953/10/08          214.0          MC
062102         1953/10/09          214.0          MC
062102         1953/10/10          214.0          MC
062102         1953/10/11          209.0          MC
062102         1953/10/12          182.0          MC
062102         1953/10/13          170.0          MC
062102         1953/10/14          153.0          MC
062102         1953/10/15          135.0          MC
062102         1953/10/16          131.0          MC
062102         1953/10/17          131.0          MC
062102         1953/10/18          131.0          MC
062102         1953/10/19          131.0          MC
062102         1953/10/20          131.0          MC
062102         1953/10/21          135.0          MC
062102         1953/10/22          140.0          MC
062102         1953/10/23          144.0          MC
062102         1953/10/24          140.0          MC
062102         1953/10/25          133.0          MC
062102         1953/10/26          131.0          MC
062102         1953/10/27          125.0          MC
062102         1953/10/28          124.0          MC
062102         1953/10/29          124.0          MC
062102         1953/10/30          117.0          MC
062102         1953/10/31          114.0          MC
062102         1953/11/01          104.0          MC
062102         1953/11/02          104.0          MC
062102         1953/11/03          106.0          MC
062102         1953/11/04          101.0          MC
062102         1953/11/05          99.40          MC
062102         1953/11/06          98.50          E
062102         1953/11/07          96.60          MC
062102         1953/11/08          97.40          E
062102         1953/11/09          98.30          MC
062102         1953/11/10          99.40          MC
062102         1953/11/11          98.30          MC
062102         1953/11/12          101.0          MC
062102         1953/11/13          98.30          MC
062102         1953/11/14          98.30          MC
062102         1953/11/15          98.30          MC
062102         1953/11/16          98.30          MC
062102         1953/11/17          98.30          MC
062102         1953/11/18          98.30          MC
062102         1953/11/19          101.0          MC
062102         1953/11/20          104.0          MC
062102         1953/11/21          
062102         1953/11/22          
062102         1953/11/23          
062102         1953/11/24          
062102         1953/11/25          
062102         1953/11/26          
062102         1953/11/27          
062102         1953/11/28          
062102         1953/11/29          
062102         1953/11/30          
062102         1953/12/01          
062102         1953/12/02          
062102         1953/12/03          
062102         1953/12/04          
062102         1953/12/05          
062102         1953/12/06          
062102         1953/12/07          
062102         1953/12/08          
062102         1953/12/09          
062102         1953/12/10          
062102         1953/12/11          
062102         1953/12/12          
062102         1953/12/13          
062102         1953/12/14          
062102         1953/12/15          
062102         1953/12/16          
062102         1953/12/17          
062102         1953/12/18          
062102         1953/12/19          
062102         1953/12/20          
062102         1953/12/21          
062102         1953/12/22          
062102         1953/12/23          
062102         1953/12/24          
062102         1953/12/25          
062102         1953/12/26          
062102         1953/12/27          
062102         1953/12/28          
062102         1953/12/29          
062102         1953/12/30          
062102         1953/12/31          
062102         1954/01/01          
062102         1954/01/02          
062102         1954/01/03          
062102         1954/01/04          
062102         1954/01/05          
062102         1954/01/06          
062102         1954/01/07          
062102         1954/01/08          
062102         1954/01/09          
062102         1954/01/10          
062102         1954/01/11          
062102         1954/01/12          
062102         1954/01/13          
062102         1954/01/14          
062102         1954/01/15          
062102         1954/01/16          
062102         1954/01/17          
062102         1954/01/18          
062102         1954/01/19          
062102         1954/01/20          
062102         1954/01/21          
062102         1954/01/22          
062102         1954/01/23          
062102         1954/01/24          
062102         1954/01/25          
062102         1954/01/26          
062102         1954/01/27          
062102         1954/01/28          
062102         1954/01/29          
062102         1954/01/30          
062102         1954/01/31          
062102         1954/02/01          
062102         1954/02/02          
062102         1954/02/03          
062102         1954/02/04          
062102         1954/02/05          
062102         1954/02/06          
062102         1954/02/07          
062102         1954/02/08          
062102         1954/02/09          
062102         1954/02/10          
062102         1954/02/11          
062102         1954/02/12          
062102         1954/02/13          
062102         1954/02/14          
062102         1954/02/15          
062102         1954/02/16          
062102         1954/02/17          
062102         1954/02/18          
062102         1954/02/19          
062102         1954/02/20          
062102         1954/02/21          
062102         1954/02/22          
062102         1954/02/23          
062102         1954/02/24          
062102         1954/02/25          
062102         1954/02/26          
062102         1954/02/27          
062102         1954/02/28          
062102         1954/03/01          
062102         1954/03/02          
062102         1954/03/03          
062102         1954/03/04          
062102         1954/03/05          
062102         1954/03/06          
062102         1954/03/07          
062102         1954/03/08          
062102         1954/03/09          
062102         1954/03/10          
062102         1954/03/11          
062102         1954/03/12          
062102         1954/03/13          
062102         1954/03/14          
062102         1954/03/15          
062102         1954/03/16          
062102         1954/03/17          
062102         1954/03/18          
062102         1954/03/19          
062102         1954/03/20          
062102         1954/03/21          
062102         1954/03/22          
062102         1954/03/23          
062102         1954/03/24          
062102         1954/03/25          
062102         1954/03/26          
062102         1954/03/27          
062102         1954/03/28          
062102         1954/03/29          
062102         1954/03/30          
062102         1954/03/31          
062102         1954/04/01          
062102         1954/04/02          
062102         1954/04/03          
062102         1954/04/04          
062102         1954/04/05          
062102         1954/04/06          
062102         1954/04/07          
062102         1954/04/08          
062102         1954/04/09          
062102         1954/04/10          
062102         1954/04/11          
062102         1954/04/12          
062102         1954/04/13          
062102         1954/04/14          
062102         1954/04/15          
062102         1954/04/16          
062102         1954/04/17          
062102         1954/04/18          
062102         1954/04/19          
062102         1954/04/20          
062102         1954/04/21          
062102         1954/04/22          
062102         1954/04/23          
062102         1954/04/24          
062102         1954/04/25          
062102         1954/04/26          
062102         1954/04/27          
062102         1954/04/28          
062102         1954/04/29          
062102         1954/04/30          
062102         1954/05/01          
062102         1954/05/02          
062102         1954/05/03          
062102         1954/05/04          
062102         1954/05/05          
062102         1954/05/06          
062102         1954/05/07          
062102         1954/05/08          
062102         1954/05/09          
062102         1954/05/10          
062102         1954/05/11          
062102         1954/05/12          
