Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1968-12-31
Station:        062103         Mistassini - à 1,8 km en amont de la Samaqua                                                                                                   
Bassin versant: 4580 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 49° 10' 8" // -72° 34' 6"

Date de création du fichier: 2012-06-24 03:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
062103         1962/05/07          260.0          MC
062103         1962/05/08          260.0          MC
062103         1962/05/09          248.0          MC
062103         1962/05/10          229.0          MC
062103         1962/05/11          213.0          MC
062103         1962/05/12          209.0          MC
062103         1962/05/13          219.0          MC
062103         1962/05/14          272.0          MC
062103         1962/05/15          323.0          E
062103         1962/05/16          360.0          E
062103         1962/05/17          402.0          E
062103         1962/05/18          433.0          MC
062103         1962/05/19          481.0          MC
062103         1962/05/20          490.0          MC
062103         1962/05/21          464.0          MC
062103         1962/05/22          413.0          MC
062103         1962/05/23          351.0          MC
062103         1962/05/24          292.0          MC
062103         1962/05/25          254.0          MC
062103         1962/05/26          235.0          MC
062103         1962/05/27          227.0          MC
062103         1962/05/28          213.0          MC
062103         1962/05/29          192.0          MC
062103         1962/05/30          182.0          MC
062103         1962/05/31          194.0          MC
062103         1962/06/01          199.0          MC
062103         1962/06/02          217.0          MC
062103         1962/06/03          219.0          MC
062103         1962/06/04          211.0          MC
062103         1962/06/05          189.0          MC
062103         1962/06/06          170.0          MC
062103         1962/06/07          153.0          MC
062103         1962/06/08          138.0          MC
062103         1962/06/09          129.0          MC
062103         1962/06/10          119.0          MC
062103         1962/06/11          101.0          MC
062103         1962/06/12          94.90          MC
062103         1962/06/13          92.90          MC
062103         1962/06/14          93.40          MC
062103         1962/06/15          90.30          MC
062103         1962/06/16          75.90          MC
062103         1962/06/17          69.70          MC
062103         1962/06/18          70.80          MC
062103         1962/06/19          70.20          MC
062103         1962/06/20          78.70          E
062103         1962/06/21          73.60          E
062103         1962/06/22          65.70          E
062103         1962/06/23          63.70          E
062103         1962/06/24          65.70          E
062103         1962/06/25          70.80          E
062103         1962/06/26          75.90          E
062103         1962/06/27          70.80          E
062103         1962/06/28          65.10          E
062103         1962/06/29          62.60          E
062103         1962/06/30          58.00          E
062103         1962/07/01          54.40          MC
062103         1962/07/02          48.40          MC
062103         1962/07/03          47.60          MC
062103         1962/07/04          46.70          MC
062103         1962/07/05          43.90          MC
062103         1962/07/06          43.90          MC
062103         1962/07/07          41.90          MC
062103         1962/07/08          41.60          MC
062103         1962/07/09          46.70          MC
062103         1962/07/10          69.10          MC
062103         1962/07/11          84.70          MC
062103         1962/07/12          80.40          E
062103         1962/07/13          98.50          E
062103         1962/07/14          129.0          E
062103         1962/07/15          169.0          E
062103         1962/07/16          232.0          E
062103         1962/07/17          219.0          E
062103         1962/07/18          193.0          E
062103         1962/07/19          172.0          E
062103         1962/07/20          153.0          E
062103         1962/07/21          136.0          E
062103         1962/07/22          121.0          E
062103         1962/07/23          108.0          E
062103         1962/07/24          97.40          E
062103         1962/07/25          83.00          E
062103         1962/07/26          78.70          E
062103         1962/07/27          84.10          E
062103         1962/07/28          102.0          E
062103         1962/07/29          119.0          MC
062103         1962/07/30          136.0          MC
062103         1962/07/31          134.0          MC
062103         1962/08/01          128.0          MC
062103         1962/08/02          123.0          MC
062103         1962/08/03          110.0          MC
062103         1962/08/04          101.0          MC
062103         1962/08/05          155.0          MC
062103         1962/08/06          215.0          MC
062103         1962/08/07          216.0          MC
062103         1962/08/08          210.0          MC
062103         1962/08/09          199.0          MC
062103         1962/08/10          176.0          MC
062103         1962/08/11          153.0          MC
062103         1962/08/12          134.0          MC
062103         1962/08/13          117.0          MC
062103         1962/08/14          103.0          MC
062103         1962/08/15          96.00          MC
062103         1962/08/16          98.50          MC
062103         1962/08/17          103.0          MC
062103         1962/08/18          96.60          MC
062103         1962/08/19          93.40          MC
062103         1962/08/20          87.20          MC
062103         1962/08/21          81.60          MC
062103         1962/08/22          74.80          MC
062103         1962/08/23          69.70          MC
062103         1962/08/24          62.00          MC
062103         1962/08/25          61.20          MC
062103         1962/08/26          61.20          MC
062103         1962/08/27          62.00          MC
062103         1962/08/28          63.70          MC
062103         1962/08/29          61.40          MC
062103         1962/08/30          58.90          MC
062103         1962/08/31          53.50          MC
062103         1962/09/01          51.50          MC
062103         1962/09/02          51.50          MC
062103         1962/09/03          51.50          MC
062103         1962/09/04          52.40          MC
062103         1962/09/05          51.50          MC
062103         1962/09/06          55.80          MC
062103         1962/09/07          56.90          MC
062103         1962/09/08          60.60          MC
062103         1962/09/09          66.80          MC
062103         1962/09/10          72.50          MC
062103         1962/09/11          87.20          MC
062103         1962/09/12          110.0          MC
062103         1962/09/13          140.0          MC
062103         1962/09/14          176.0          MC
062103         1962/09/15          199.0          MC
062103         1962/09/16          206.0          MC
062103         1962/09/17          192.0          MC
062103         1962/09/18          182.0          MC
062103         1962/09/19          168.0          MC
062103         1962/09/20          153.0          MC
062103         1962/09/21          138.0          MC
062103         1962/09/22          125.0          MC
062103         1962/09/23          115.0          MC
062103         1962/09/24          108.0          MC
062103         1962/09/25          98.50          MC
062103         1962/09/26          94.90          MC
062103         1962/09/27          87.20          MC
062103         1962/09/28          79.30          MC
062103         1962/09/29          75.90          MC
062103         1962/09/30          71.90          MC
062103         1962/10/01          70.80          MC
062103         1962/10/02          70.80          MC
062103         1962/10/03          66.30          MC
062103         1962/10/04          65.70          MC
062103         1962/10/05          64.80          MC
062103         1962/10/06          61.20          MC
062103         1962/10/07          60.00          MC
062103         1962/10/08          56.60          MC
062103         1962/10/09          55.80          MC
062103         1962/10/10          56.60          MC
062103         1962/10/11          55.20          MC
062103         1962/10/12          55.80          MC
062103         1962/10/13          76.50          MC
062103         1962/10/14          83.50          MC
062103         1962/10/15          79.90          MC
062103         1962/10/16          80.40          MC
062103         1962/10/17          80.40          MC
062103         1962/10/18          81.00          MC
062103         1962/10/19          84.70          MC
062103         1962/10/20          81.60          MC
062103         1962/10/21          78.20          MC
062103         1962/10/22          75.30          MC
062103         1962/10/23          74.20          MC
062103         1962/10/24          69.10          MC
062103         1962/10/25          66.80          MC
062103         1962/10/26          62.60          MC
062103         1962/10/27          58.00          MC
062103         1962/10/28          61.20          MC
062103         1962/10/29          60.60          MC
062103         1962/10/30          60.60          MC
062103         1962/10/31          60.00          MC
062103         1962/11/01          62.30          MC
062103         1962/11/02          61.70          MC
062103         1962/11/03          59.50          MC
062103         1962/11/04          55.80          R
062103         1962/11/05          53.80          R
062103         1962/11/06          51.00          R
062103         1962/11/07          48.40          R
062103         1962/11/08          50.40          R
062103         1962/11/09          53.50          R
062103         1962/11/10          53.20          R
062103         1962/11/11          52.10          R
062103         1962/11/12          52.70          R
062103         1962/11/13          64.60          R
062103         1962/11/14          62.30          R
062103         1962/11/15          58.00          R
062103         1962/11/16          55.20          R
062103         1962/11/17          52.40          R
062103         1962/11/18          50.40          R
062103         1962/11/19          48.10          R
062103         1962/11/20          47.30          R
062103         1962/11/21          47.00          R
062103         1962/11/22          48.10          R
062103         1962/11/23          50.70          R
062103         1962/11/24          51.30          R
062103         1962/11/25          52.10          R
062103         1962/11/26          53.00          R
062103         1962/11/27          53.50          R
062103         1962/11/28          53.80          R
062103         1962/11/29          53.80          R
062103         1962/11/30          53.80          R
062103         1962/12/01          53.80          R
062103         1962/12/02          53.50          R
062103         1962/12/03          53.00          R
062103         1962/12/04          52.40          R
062103         1962/12/05          51.80          R
062103         1962/12/06          51.00          R
062103         1962/12/07          50.10          R
062103         1962/12/08          49.00          R
062103         1962/12/09          48.10          R
062103         1962/12/10          47.60          R
062103         1962/12/11          46.40          R
062103         1962/12/12          45.60          R
062103         1962/12/13          45.00          R
062103         1962/12/14          44.20          R
062103         1962/12/15          43.30          R
062103         1962/12/16          42.50          R
062103         1962/12/17          41.90          R
062103         1962/12/18          41.10          R
062103         1962/12/19          40.20          R
062103         1962/12/20          39.60          R
062103         1962/12/21          39.10          R
062103         1962/12/22          38.20          R
062103         1962/12/23          37.40          R
062103         1962/12/24          36.80          R
062103         1962/12/25          36.20          R
062103         1962/12/26          35.40          R
062103         1962/12/27          34.50          R
062103         1962/12/28          34.00          R
062103         1962/12/29          33.70          R
062103         1962/12/30          33.40          R
062103         1962/12/31          32.80          R
062103         1963/01/01          31.40          R
062103         1963/01/02          30.90          R
062103         1963/01/03          30.00          R
062103         1963/01/04          29.40          R
062103         1963/01/05          28.90          R
062103         1963/01/06          28.60          R
062103         1963/01/07          28.20          R
062103         1963/01/08          27.80          R
062103         1963/01/09          27.20          R
062103         1963/01/10          26.90          R
062103         1963/01/11          26.30          R
062103         1963/01/12          26.10          R
062103         1963/01/13          25.50          R
062103         1963/01/14          25.20          R
062103         1963/01/15          24.60          R
062103         1963/01/16          24.40          R
062103         1963/01/17          23.80          R
062103         1963/01/18          23.50          R
062103         1963/01/19          23.10          R
062103         1963/01/20          22.70          R
062103         1963/01/21          22.40          R
062103         1963/01/22          22.10          R
062103         1963/01/23          21.50          R
062103         1963/01/24          21.20          R
062103         1963/01/25          21.00          R
062103         1963/01/26          20.50          R
062103         1963/01/27          20.20          R
062103         1963/01/28          19.80          R
062103         1963/01/29          19.50          R
062103         1963/01/30          19.30          R
062103         1963/01/31          18.80          R
062103         1963/02/01          18.50          R
062103         1963/02/02          18.30          R
062103         1963/02/03          18.00          R
062103         1963/02/04          17.70          R
062103         1963/02/05          17.40          R
062103         1963/02/06          17.10          R
062103         1963/02/07          16.80          R
062103         1963/02/08          16.60          R
062103         1963/02/09          16.40          R
062103         1963/02/10          16.10          R
062103         1963/02/11          15.90          R
062103         1963/02/12          15.70          R
062103         1963/02/13          15.40          R
062103         1963/02/14          15.30          R
062103         1963/02/15          15.00          R
062103         1963/02/16          14.70          R
062103         1963/02/17          14.60          R
062103         1963/02/18          14.30          R
062103         1963/02/19          14.20          R
062103         1963/02/20          14.00          R
062103         1963/02/21          13.90          R
062103         1963/02/22          13.60          R
062103         1963/02/23          13.50          R
062103         1963/02/24          13.20          R
062103         1963/02/25          13.00          R
062103         1963/02/26          12.90          R
062103         1963/02/27          12.70          R
062103         1963/02/28          12.60          R
062103         1963/03/01          12.30          R
062103         1963/03/02          12.20          R
062103         1963/03/03          12.00          R
062103         1963/03/04          11.90          R
062103         1963/03/05          11.80          R
062103         1963/03/06          11.60          R
062103         1963/03/07          11.50          R
