Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-04-08
Station:        062104         Ouasiemsca - à 1,9 km de la Mistassini                                                                                                         
Bassin versant: 3420 km²       Régime: Influencé journellement                           
Coordonnées:    (NAD83) 49° 0' 2" // -72° 30' 15"

Date de création du fichier: 2012-06-24 03:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
062104         1962/05/04          185.0          MC
062104         1962/05/05          198.0          E
062104         1962/05/06          229.0          E
062104         1962/05/07          252.0          MC
062104         1962/05/08          258.0          MC
062104         1962/05/09          244.0          MC
062104         1962/05/10          227.0          MC
062104         1962/05/11          211.0          MC
062104         1962/05/12          199.0          MC
062104         1962/05/13          195.0          MC
062104         1962/05/14          205.0          MC
062104         1962/05/15          234.0          MC
062104         1962/05/16          250.0          MC
062104         1962/05/17          294.0          MC
062104         1962/05/18          357.0          MC
062104         1962/05/19          388.0          MC
062104         1962/05/20          394.0          MC
062104         1962/05/21          374.0          MC
062104         1962/05/22          331.0          MC
062104         1962/05/23          274.0          MC
062104         1962/05/24          217.0          MC
062104         1962/05/25          199.0          MC
062104         1962/05/26          203.0          MC
062104         1962/05/27          195.0          MC
062104         1962/05/28          182.0          MC
062104         1962/05/29          167.0          MC
062104         1962/05/30          150.0          MC
062104         1962/05/31          163.0          MC
062104         1962/06/01          172.0          MC
062104         1962/06/02          204.0          MC
062104         1962/06/03          216.0          MC
062104         1962/06/04          206.0          MC
062104         1962/06/05          185.0          MC
062104         1962/06/06          166.0          MC
062104         1962/06/07          136.0          MC
062104         1962/06/08          121.0          MC
062104         1962/06/09          121.0          MC
062104         1962/06/10          107.0          MC
062104         1962/06/11          94.00          MC
062104         1962/06/12          90.00          MC
062104         1962/06/13          86.10          MC
062104         1962/06/14          86.40          MC
062104         1962/06/15          82.70          MC
062104         1962/06/16          73.60          MC
062104         1962/06/17          72.80          MC
062104         1962/06/18          71.40          MC
062104         1962/06/19          76.70          MC
062104         1962/06/20          77.30          MC
062104         1962/06/21          70.20          MC
062104         1962/06/22          65.40          MC
062104         1962/06/23          66.80          MC
062104         1962/06/24          71.40          MC
062104         1962/06/25          79.90          MC
062104         1962/06/26          83.30          MC
062104         1962/06/27          71.60          MC
062104         1962/06/28          66.80          MC
062104         1962/06/29          65.70          MC
062104         1962/06/30          58.30          MC
062104         1962/07/01          55.80          MC
062104         1962/07/02          54.10          MC
062104         1962/07/03          54.10          MC
062104         1962/07/04          55.80          MC
062104         1962/07/05          53.00          MC
062104         1962/07/06          52.40          MC
062104         1962/07/07          53.50          MC
062104         1962/07/08          55.20          MC
062104         1962/07/09          52.10          MC
062104         1962/07/10          64.30          MC
062104         1962/07/11          74.20          MC
062104         1962/07/12          76.50          MC
062104         1962/07/13          86.40          MC
062104         1962/07/14          112.0          MC
062104         1962/07/15          152.0          MC
062104         1962/07/16          167.0          MC
062104         1962/07/17          151.0          MC
062104         1962/07/18          127.0          MC
062104         1962/07/19          120.0          MC
062104         1962/07/20          108.0          MC
062104         1962/07/21          101.0          MC
062104         1962/07/22          91.20          MC
062104         1962/07/23          79.90          MC
062104         1962/07/24          86.10          MC
062104         1962/07/25          85.20          MC
062104         1962/07/26          81.60          MC
062104         1962/07/27          81.80          MC
062104         1962/07/28          90.90          MC
062104         1962/07/29          103.0          MC
062104         1962/07/30          103.0          MC
062104         1962/07/31          98.80          MC
062104         1962/08/01          96.00          MC
062104         1962/08/02          91.70          MC
062104         1962/08/03          82.10          MC
062104         1962/08/04          73.60          MC
062104         1962/08/05          84.70          MC
062104         1962/08/06          110.0          MC
062104         1962/08/07          112.0          E
062104         1962/08/08          108.0          E
062104         1962/08/09          102.0          E
062104         1962/08/10          90.60          E
062104         1962/08/11          82.10          E
062104         1962/08/12          71.40          E
062104         1962/08/13          62.00          E
062104         1962/08/14          56.60          E
062104         1962/08/15          49.60          E
062104         1962/08/16          50.40          E
062104         1962/08/17          51.50          E
062104         1962/08/18          51.30          E
062104         1962/08/19          48.10          E
062104         1962/08/20          45.90          E
062104         1962/08/21          41.10          E
062104         1962/08/22          37.40          E
062104         1962/08/23          35.10          E
062104         1962/08/24          31.70          E
062104         1962/08/25          30.00          E
062104         1962/08/26          29.70          E
062104         1962/08/27          30.00          E
062104         1962/08/28          30.30          E
062104         1962/08/29          30.90          E
062104         1962/08/30          28.90          E
062104         1962/08/31          27.20          E
062104         1962/09/01          24.40          E
062104         1962/09/02          23.90          E
062104         1962/09/03          24.90          MC
062104         1962/09/04          25.20          MC
062104         1962/09/05          25.20          MC
062104         1962/09/06          27.40          MC
062104         1962/09/07          32.00          MC
062104         1962/09/08          37.10          MC
062104         1962/09/09          42.20          MC
062104         1962/09/10          43.90          MC
062104         1962/09/11          45.00          MC
062104         1962/09/12          55.80          MC
062104         1962/09/13          69.40          MC
062104         1962/09/14          81.60          MC
062104         1962/09/15          92.90          MC
062104         1962/09/16          96.00          MC
