Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1975-11-05
Station:        062111         Mistassini - à 20,9 km en amont de la Samaqua                                                                                                  
Bassin versant: 4480 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 49° 19' 8" // -72° 38' 15"

Date de création du fichier: 2012-06-24 03:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
062111         1969/01/01          34.00          R
062111         1969/01/02          33.70          R
062111         1969/01/03          33.40          R
062111         1969/01/04          33.40          R
062111         1969/01/05          33.40          R
062111         1969/01/06          33.10          R
062111         1969/01/07          32.80          R
062111         1969/01/08          32.60          R
062111         1969/01/09          32.60          R
062111         1969/01/10          32.60          R
062111         1969/01/11          32.30          R
062111         1969/01/12          32.00          R
062111         1969/01/13          31.70          R
062111         1969/01/14          31.40          R
062111         1969/01/15          31.40          R
062111         1969/01/16          31.10          R
062111         1969/01/17          31.10          R
062111         1969/01/18          30.90          R
062111         1969/01/19          30.60          R
062111         1969/01/20          30.30          R
062111         1969/01/21          30.00          R
062111         1969/01/22          29.70          R
062111         1969/01/23          29.70          R
062111         1969/01/24          29.40          R
062111         1969/01/25          29.20          R
062111         1969/01/26          28.90          R
062111         1969/01/27          28.60          R
062111         1969/01/28          28.60          R
062111         1969/01/29          28.30          R
062111         1969/01/30          28.00          R
062111         1969/01/31          27.80          R
062111         1969/02/01          27.80          R
062111         1969/02/02          27.50          R
062111         1969/02/03          27.20          R
062111         1969/02/04          27.20          R
062111         1969/02/05          26.90          R
062111         1969/02/06          26.60          R
062111         1969/02/07          26.50          R
062111         1969/02/08          26.30          R
062111         1969/02/09          26.10          R
062111         1969/02/10          25.90          R
062111         1969/02/11          25.50          R
062111         1969/02/12          25.50          R
062111         1969/02/13          25.20          R
062111         1969/02/14          25.10          R
062111         1969/02/15          24.90          R
062111         1969/02/16          24.60          R
062111         1969/02/17          24.40          R
062111         1969/02/18          24.10          R
062111         1969/02/19          23.80          R
062111         1969/02/20          23.80          R
062111         1969/02/21          23.50          R
062111         1969/02/22          23.20          R
062111         1969/02/23          22.90          R
062111         1969/02/24          22.80          R
062111         1969/02/25          22.60          R
062111         1969/02/26          22.40          R
062111         1969/02/27          22.20          R
062111         1969/02/28          22.10          R
062111         1969/03/01          21.80          R
062111         1969/03/02          21.70          R
062111         1969/03/03          21.50          R
062111         1969/03/04          21.40          R
062111         1969/03/05          21.20          R
062111         1969/03/06          21.10          R
062111         1969/03/07          21.00          R
062111         1969/03/08          21.00          R
062111         1969/03/09          21.00          R
062111         1969/03/10          21.00          R
062111         1969/03/11          21.20          R
062111         1969/03/12          21.50          R
062111         1969/03/13          21.70          R
062111         1969/03/14          21.80          R
062111         1969/03/15          22.00          R
062111         1969/03/16          22.10          R
062111         1969/03/17          21.90          R
062111         1969/03/18          21.80          R
062111         1969/03/19          21.70          R
062111         1969/03/20          21.60          R
062111         1969/03/21          21.50          R
062111         1969/03/22          21.40          R
062111         1969/03/23          21.20          R
062111         1969/03/24          21.20          R
062111         1969/03/25          21.20          R
062111         1969/03/26          21.10          R
062111         1969/03/27          21.00          R
062111         1969/03/28          21.00          R
062111         1969/03/29          20.90          R
062111         1969/03/30          20.80          R
062111         1969/03/31          20.80          R
062111         1969/04/01          20.70          R
062111         1969/04/02          20.80          R
062111         1969/04/03          20.90          R
062111         1969/04/04          20.90          R
062111         1969/04/05          20.90          R
062111         1969/04/06          20.90          R
062111         1969/04/07          20.90          R
062111         1969/04/08          21.00          R
062111         1969/04/09          21.00          R
062111         1969/04/10          21.20          R
062111         1969/04/11          22.10          R
062111         1969/04/12          22.90          R
062111         1969/04/13          24.50          R
062111         1969/04/14          26.10          R
062111         1969/04/15          27.80          R
062111         1969/04/16          29.70          R
062111         1969/04/17          32.60          R
062111         1969/04/18          37.40          R
062111         1969/04/19          43.30          R
062111         1969/04/20          52.40          R
062111         1969/04/21          58.00          R
062111         1969/04/22          62.30          R
062111         1969/04/23          66.50          R
062111         1969/04/24          69.40          R
062111         1969/04/25          74.20          R
062111         1969/04/26          80.70          R
062111         1969/04/27          87.80          R
062111         1969/04/28          92.00          R
062111         1969/04/29          90.90          R
062111         1969/04/30          90.60          R
062111         1969/05/01          94.90          R
062111         1969/05/02          101.0          R
062111         1969/05/03          110.0          R
062111         1969/05/04          122.0          R
062111         1969/05/05          133.0          R
062111         1969/05/06          148.0          MC
062111         1969/05/07          156.0          MC
062111         1969/05/08          161.0          MC
062111         1969/05/09          207.0          MC
062111         1969/05/10          249.0          MC
062111         1969/05/11          266.0          MC
062111         1969/05/12          266.0          MC
062111         1969/05/13          261.0          MC
062111         1969/05/14          259.0          MC
062111         1969/05/15          250.0          MC
062111         1969/05/16          260.0          MC
062111         1969/05/17          292.0          MC
062111         1969/05/18          357.0          MC
062111         1969/05/19          405.0          MC
062111         1969/05/20          450.0          MC
062111         1969/05/21          450.0          MC
062111         1969/05/22          416.0          MC
062111         1969/05/23          379.0          MC
062111         1969/05/24          357.0          MC
062111         1969/05/25          365.0          MC
062111         1969/05/26          371.0          MC
062111         1969/05/27          348.0          MC
062111         1969/05/28          317.0          MC
062111         1969/05/29          294.0          MC
062111         1969/05/30          289.0          MC
062111         1969/05/31          292.0          MC
062111         1969/06/01          286.0          MC
062111         1969/06/02          274.0          MC
062111         1969/06/03          300.0          MC
062111         1969/06/04          351.0          MC
062111         1969/06/05          365.0          MC
062111         1969/06/06          354.0          MC
062111         1969/06/07          354.0          MC
062111         1969/06/08          337.0          MC
062111         1969/06/09          306.0          MC
062111         1969/06/10          276.0          MC
062111         1969/06/11          252.0          MC
062111         1969/06/12          231.0          MC
062111         1969/06/13          216.0          MC
062111         1969/06/14          206.0          MC
062111         1969/06/15          194.0          MC
062111         1969/06/16          180.0          MC
062111         1969/06/17          166.0          MC
062111         1969/06/18          152.0          MC
062111         1969/06/19          140.0          MC
062111         1969/06/20          145.0          MC
062111         1969/06/21          144.0          MC
062111         1969/06/22          135.0          MC
062111         1969/06/23          126.0          MC
062111         1969/06/24          117.0          MC
062111         1969/06/25          108.0          MC
062111         1969/06/26          101.0          MC
062111         1969/06/27          94.60          MC
062111         1969/06/28          92.30          MC
062111         1969/06/29          97.40          MC
062111         1969/06/30          102.0          MC
062111         1969/07/01          104.0          MC
062111         1969/07/02          130.0          MC
062111         1969/07/03          139.0          MC
062111         1969/07/04          132.0          MC
062111         1969/07/05          131.0          MC
062111         1969/07/06          147.0          MC
062111         1969/07/07          143.0          MC
062111         1969/07/08          135.0          MC
062111         1969/07/09          125.0          MC
062111         1969/07/10          114.0          MC
062111         1969/07/11          105.0          MC
