Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2020-09-30, préliminaires par la suite
Station:        062114         Mistassibi - en amont de la chute Bouchard                                                                                                     
Bassin versant: 8643.9 km²     Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 56' 33" // -72° 10' 21"

Date de création du fichier: 2021-10-16 18:39
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
062114         2003/08/05          215.0          MJ
062114         2003/08/06          249.5          MJ
062114         2003/08/07          395.7          MJ
062114         2003/08/08          541.6          MJ
062114         2003/08/09          532.4          MJ
062114         2003/08/10          471.1          MJ
062114         2003/08/11          415.7          MJ
062114         2003/08/12          372.2          MJ
062114         2003/08/13          356.4          MJ
062114         2003/08/14          345.3          MJ
062114         2003/08/15          336.1          E
062114         2003/08/16          288.8          E
062114         2003/08/17          295.7          E
062114         2003/08/18          276.6          E
062114         2003/08/19          252.7          E
062114         2003/08/20          228.5          E
062114         2003/08/21          207.5          E
062114         2003/08/22          191.8          E
062114         2003/08/23          183.0          E
062114         2003/08/24          185.1          E
062114         2003/08/25          180.6          E
062114         2003/08/26          174.7          E
062114         2003/08/27          170.3          E
062114         2003/08/28          169.9          E
062114         2003/08/29          190.9          MJ
062114         2003/08/30          219.4          MJ
062114         2003/08/31          235.9          MJ
062114         2003/09/01          240.7          MJ
062114         2003/09/02          235.2          MJ
062114         2003/09/03          229.2          MJ
062114         2003/09/04          226.8          MJ
062114         2003/09/05          230.8          MJ
062114         2003/09/06          300.1          MJ
062114         2003/09/07          364.1          MJ
062114         2003/09/08          372.8          MJ
062114         2003/09/09          360.7          MJ
062114         2003/09/10          336.2          MJ
