Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1984-10-23
Station:        062210         Au Serpent - à 9,6 km de la rivière Péribonca                                                                                                  
Bassin versant: 2220 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 49° 36' 27" // -71° 17' 56"

Date de création du fichier: 2012-06-24 03:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
062210         1979/04/25          67.90          MC
062210         1979/04/26          83.80          MC
062210         1979/04/27          137.0          MC
062210         1979/04/28          255.0          MC
062210         1979/04/29          341.0          MC
062210         1979/04/30          324.0          MC
062210         1979/05/01          296.0          MC
062210         1979/05/02          285.0          MC
062210         1979/05/03          275.0          MC
062210         1979/05/04          263.0          MC
062210         1979/05/05          225.0          MC
062210         1979/05/06          194.0          MC
062210         1979/05/07          185.0          MC
062210         1979/05/08          200.0          MC
062210         1979/05/09          200.0          MC
062210         1979/05/10          186.0          MC
062210         1979/05/11          217.0          MC
062210         1979/05/12          302.0          MC
062210         1979/05/13          264.0          MC
062210         1979/05/14          239.0          MC
062210         1979/05/15          230.0          MC
062210         1979/05/16          213.0          MC
062210         1979/05/17          194.0          MC
062210         1979/05/18          180.0          MC
062210         1979/05/19          174.0          MC
062210         1979/05/20          174.0          E
062210         1979/05/21          181.0          J
062210         1979/05/22          205.0          MC
062210         1979/05/23          216.0          MC
062210         1979/05/24          193.0          MC
062210         1979/05/25          172.0          MC
062210         1979/05/26          151.0          MC
062210         1979/05/27          137.0          MC
062210         1979/05/28          129.0          MC
062210         1979/05/29          120.0          MC
062210         1979/05/30          112.0          MC
062210         1979/05/31          105.0          MC
062210         1979/06/01          98.00          MC
062210         1979/06/02          89.40          MC
062210         1979/06/03          81.50          MC
062210         1979/06/04          74.90          MC
062210         1979/06/05          70.40          MC
062210         1979/06/06          68.90          MC
062210         1979/06/07          67.20          MC
062210         1979/06/08          64.00          MC
062210         1979/06/09          65.10          MC
062210         1979/06/10          70.80          MC
062210         1979/06/11          90.70          MC
062210         1979/06/12          137.0          MC
062210         1979/06/13          151.0          MC
062210         1979/06/14          140.0          MC
062210         1979/06/15          129.0          MC
062210         1979/06/16          127.0          MC
062210         1979/06/17          121.0          MC
062210         1979/06/18          139.0          MC
062210         1979/06/19          153.0          MC
062210         1979/06/20          135.0          MC
062210         1979/06/21          119.0          MC
062210         1979/06/22          105.0          MC
062210         1979/06/23          94.30          MC
062210         1979/06/24          87.20          MC
062210         1979/06/25          79.30          MC
062210         1979/06/26          72.10          MC
062210         1979/06/27          66.40          MC
062210         1979/06/28          62.60          MC
062210         1979/06/29          57.70          MC
062210         1979/06/30          54.50          MC
062210         1979/07/01          53.70          MC
062210         1979/07/02          54.00          MC
062210         1979/07/03          51.80          MC
062210         1979/07/04          47.70          MC
062210         1979/07/05          45.20          J
062210         1979/07/06          43.00          MC
062210         1979/07/07          40.30          MC
062210         1979/07/08          39.10          MC
062210         1979/07/09          38.00          MC
062210         1979/07/10          36.00          MC
062210         1979/07/11          33.90          MC
062210         1979/07/12          32.10          MC
062210         1979/07/13          30.50          MC
062210         1979/07/14          29.00          MC
062210         1979/07/15          28.40          MC
062210         1979/07/16          36.10          MC
062210         1979/07/17          33.80          MC
062210         1979/07/18          29.80          MC
062210         1979/07/19          27.10          MC
062210         1979/07/20          25.40          MC
062210         1979/07/21          23.40          MC
062210         1979/07/22          22.00          MC
062210         1979/07/23          20.40          MC
062210         1979/07/24          19.30          MC
062210         1979/07/25          18.60          MC
062210         1979/07/26          54.80          MC
062210         1979/07/27          159.0          MC
062210         1979/07/28          117.0          MC
062210         1979/07/29          89.50          MC
062210         1979/07/30          78.70          MC
062210         1979/07/31          70.80          MC
062210         1979/08/01          65.60          MC
062210         1979/08/02          61.00          MC
062210         1979/08/03          62.00          MC
062210         1979/08/04          66.40          MC
062210         1979/08/05          68.60          MC
062210         1979/08/06          64.00          MC
062210         1979/08/07          57.60          MC
062210         1979/08/08          55.30          MC
062210         1979/08/09          51.20          MC
062210         1979/08/10          47.50          MC
062210         1979/08/11          46.30          MC
062210         1979/08/12          47.40          MC
062210         1979/08/13          46.10          MC
062210         1979/08/14          44.00          MC
062210         1979/08/15          47.90          MC
062210         1979/08/16          48.60          MC
062210         1979/08/17          45.40          MC
062210         1979/08/18          42.40          MC
062210         1979/08/19          40.10          MC
