Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2020-09-30, préliminaires par la suite
Station:        062701         Valin - à 3,5 km de l'embouchure                                                                                                               
Bassin versant: 768 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 29' 17" // -70° 58' 20"

Date de création du fichier: 2021-10-18 12:39
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
062701         1974/10/18          37.40          MC
062701         1974/10/19          34.00          MC
062701         1974/10/20          29.40          MC
062701         1974/10/21          26.10          MC
062701         1974/10/22          24.20          MC
062701         1974/10/23          22.70          MC
062701         1974/10/24          21.20          MC
062701         1974/10/25          20.40          MC
062701         1974/10/26          20.60          MC
062701         1974/10/27          19.60          MC
062701         1974/10/28          17.00          MC
062701         1974/10/29          19.40          MC
062701         1974/10/30          27.60          MC
062701         1974/10/31          38.50          MC
062701         1974/11/01          85.50          MC
062701         1974/11/02          106.0          MC
062701         1974/11/03          66.50          E
062701         1974/11/04          52.70          E
062701         1974/11/05          44.20          E
062701         1974/11/06          39.10          E
062701         1974/11/07          33.70          MC
062701         1974/11/08          29.40          MC
062701         1974/11/09          26.80          MC
062701         1974/11/10          24.40          MC
062701         1974/11/11          23.10          MC
062701         1974/11/12          22.00          MC
062701         1974/11/13          24.60          MC
062701         1974/11/14          34.80          MC
062701         1974/11/15          36.20          MC
062701         1974/11/16          30.60          E
062701         1974/11/17          26.30          E
062701         1974/11/18          24.10          E
062701         1974/11/19          21.50          E
062701         1974/11/20          20.10          E
062701         1974/11/21          18.70          E
062701         1974/11/22          17.60          E
062701         1974/11/23          16.40          E
062701         1974/11/24          15.70          E
062701         1974/11/25          16.20          MC
062701         1974/11/26          15.30          R
062701         1974/11/27          12.70          R
062701         1974/11/28          11.80          R
062701         1974/11/29          11.00          R
062701         1974/11/30          10.50          R
062701         1974/12/01          9.910          R
062701         1974/12/02          9.490          R
062701         1974/12/03          9.060          R
062701         1974/12/04          8.780          R
062701         1974/12/05          8.580          R
062701         1974/12/06          8.410          R
062701         1974/12/07          8.270          R
062701         1974/12/08          9.910          R
062701         1974/12/09          14.80          MC
062701         1974/12/10          19.50          MC
062701         1974/12/11          15.60          MC
062701         1974/12/12          13.50          MC
062701         1974/12/13          12.30          MC
062701         1974/12/14          10.40          MC
062701         1974/12/15          9.000          MC
062701         1974/12/16          8.500          R
062701         1974/12/17          7.990          R
062701         1974/12/18          7.650          R
062701         1974/12/19          7.360          R
062701         1974/12/20          7.220          R
062701         1974/12/21          7.080          R
062701         1974/12/22          6.940          R
062701         1974/12/23          6.800          R
062701         1974/12/24          6.630          R
062701         1974/12/25          6.430          R
062701         1974/12/26          6.290          R
062701         1974/12/27          6.170          R
062701         1974/12/28          5.950          R
062701         1974/12/29          5.800          R
062701         1974/12/30          5.720          R
062701         1974/12/31          5.550          R
062701         1975/01/01          5.470          R
062701         1975/01/02          5.320          R
062701         1975/01/03          5.210          R
062701         1975/01/04          5.150          R
062701         1975/01/05          5.040          R
062701         1975/01/06          4.960          R
062701         1975/01/07          4.900          R
062701         1975/01/08          4.810          R
062701         1975/01/09          4.790          J
062701         1975/01/10          4.760          R
062701         1975/01/11          4.730          R
062701         1975/01/12          4.700          R
062701         1975/01/13          4.670          R
062701         1975/01/14          4.640          R
062701         1975/01/15          4.620          R
062701         1975/01/16          4.560          R
062701         1975/01/17          4.530          R
062701         1975/01/18          4.470          R
062701         1975/01/19          4.450          R
062701         1975/01/20          4.420          R
062701         1975/01/21          4.420          R
062701         1975/01/22          4.420          R
062701         1975/01/23          4.390          R
062701         1975/01/24          4.360          R
062701         1975/01/25          4.330          R
062701         1975/01/26          4.300          R
062701         1975/01/27          4.280          R
062701         1975/01/28          4.250          R
062701         1975/01/29          4.250          R
062701         1975/01/30          4.220          R
062701         1975/01/31          4.220          R
062701         1975/02/01          4.220          R
062701         1975/02/02          4.190          R
062701         1975/02/03          4.190          R
062701         1975/02/04          4.160          R
062701         1975/02/05          4.160          R
062701         1975/02/06          4.130          R
062701         1975/02/07          4.130          R
062701         1975/02/08          4.110          R
062701         1975/02/09          4.080          R
062701         1975/02/10          4.080          R
062701         1975/02/11          4.050          R
062701         1975/02/12          4.050          R
062701         1975/02/13          4.020          R
062701         1975/02/14          3.990          R
062701         1975/02/15          3.940          R
062701         1975/02/16          3.940          R
062701         1975/02/17          3.910          R
062701         1975/02/18          3.910          J
062701         1975/02/19          3.910          R
062701         1975/02/20          3.910          R
062701         1975/02/21          3.910          R
062701         1975/02/22          3.880          R
062701         1975/02/23          3.880          R
062701         1975/02/24          3.850          R
062701         1975/02/25          3.850          R
062701         1975/02/26          3.820          R
062701         1975/02/27          3.820          R
062701         1975/02/28          3.820          R
062701         1975/03/01          3.790          R
062701         1975/03/02          3.790          R
062701         1975/03/03          3.790          R
062701         1975/03/04          3.790          R
062701         1975/03/05          3.790          R
062701         1975/03/06          3.790          R
062701         1975/03/07          3.790          R
062701         1975/03/08          3.790          R
062701         1975/03/09          3.790          R
062701         1975/03/10          3.790          R
062701         1975/03/11          3.770          R
062701         1975/03/12          3.770          R
062701         1975/03/13          3.770          R
062701         1975/03/14          3.770          R
062701         1975/03/15          3.770          R
062701         1975/03/16          3.960          R
062701         1975/03/17          4.160          R
062701         1975/03/18          4.530          R
062701         1975/03/19          5.100          R
062701         1975/03/20          7.080          R
062701         1975/03/21          9.630          R
062701         1975/03/22          13.30          R
062701         1975/03/23          11.30          R
062701         1975/03/24          9.970          R
062701         1975/03/25          8.780          R
062701         1975/03/26          8.210          R
062701         1975/03/27          7.790          R
062701         1975/03/28          7.190          R
062701         1975/03/29          6.740          R
062701         1975/03/30          6.400          R
062701         1975/03/31          6.030          R
062701         1975/04/01          5.750          R
062701         1975/04/02          5.580          R
062701         1975/04/03          5.380          R
062701         1975/04/04          5.180          R
062701         1975/04/05          5.010          R
062701         1975/04/06          4.870          R
062701         1975/04/07          4.760          R
062701         1975/04/08          4.730          J
062701         1975/04/09          4.760          R
062701         1975/04/10          4.760          R
062701         1975/04/11          4.790          R
062701         1975/04/12          4.790          R
062701         1975/04/13          4.960          R
062701         1975/04/14          5.210          R
062701         1975/04/15          5.660          R
062701         1975/04/16          6.230          R
062701         1975/04/17          6.970          R
062701         1975/04/18          7.670          R
062701         1975/04/19          8.580          R
062701         1975/04/20          11.30          R
062701         1975/04/21          19.80          R
062701         1975/04/22          18.40          R
062701         1975/04/23          17.20          R
062701         1975/04/24          16.40          R
062701         1975/04/25          16.40          R
062701         1975/04/26          16.10          R
062701         1975/04/27          15.00          R
062701         1975/04/28          14.20          R
062701         1975/04/29          14.00          R
062701         1975/04/30          14.20          R
062701         1975/05/01          18.80          MC
062701         1975/05/02          34.50          MC
062701         1975/05/03          41.60          MC
062701         1975/05/04          42.50          MC
062701         1975/05/05          44.20          MC
062701         1975/05/06          45.00          MC
062701         1975/05/07          56.60          MC
062701         1975/05/08          59.70          MC
062701         1975/05/09          62.00          MC
062701         1975/05/10          62.60          MC
062701         1975/05/11          70.80          MC
062701         1975/05/12          81.60          J
062701         1975/05/13          76.20          J
062701         1975/05/14          72.80          J
062701         1975/05/15          75.30          MC
062701         1975/05/16          93.70          MC
