Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2020-09-30, préliminaires par la suite
Station:        064101         Aux Iroquois - à 150 m. en amont du pont du 3e rang à St-Prime                                                                                 
Bassin versant: 177 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 34' 59" // -72° 22' 45"

Date de création du fichier: 2021-04-28 09:23
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
064101         2011/11/15          1.808          J
064101         2011/11/16          1.817          MJ
064101         2011/11/17          1.910          MJ
064101         2011/11/18          1.880          MJ
064101         2011/11/19          1.810          MJ
064101         2011/11/20          1.857          MJ
064101         2011/11/21          1.638          MJ
064101         2011/11/22          1.697          MJ
064101         2011/11/23          1.527          MJ
064101         2011/11/24          1.480          R
064101         2011/11/25          1.440          R
064101         2011/11/26          1.430          R
064101         2011/11/27          1.630          R
064101         2011/11/28          2.240          R
064101         2011/11/29          2.992          MJ
064101         2011/11/30          3.500          MJ
064101         2011/12/01          4.090          MJ
064101         2011/12/02          4.178          MJ
064101         2011/12/03          3.849          MJ
064101         2011/12/04          3.544          MJ
064101         2011/12/05          2.969          MJ
064101         2011/12/06          2.828          MJ
064101         2011/12/07          2.789          MJ
064101         2011/12/08          2.502          MJ
064101         2011/12/09          2.319          MJ
064101         2011/12/10          1.949          MJ
064101         2011/12/11          1.800          R
064101         2011/12/12          1.690          R
064101         2011/12/13          1.640          R
064101         2011/12/14          1.610          R
064101         2011/12/15          1.590          R
064101         2011/12/16          1.750          R
064101         2011/12/17          1.670          R
064101         2011/12/18          1.600          R
064101         2011/12/19          1.560          R
064101         2011/12/20          1.520          R
064101         2011/12/21          1.500          R
064101         2011/12/22          1.480          R
064101         2011/12/23          1.460          R
064101         2011/12/24          1.450          R
064101         2011/12/25          1.430          R
064101         2011/12/26          1.410          R
064101         2011/12/27          1.400          R
064101         2011/12/28          1.380          R
064101         2011/12/29          1.370          R
064101         2011/12/30          1.360          R
064101         2011/12/31          1.350          R
064101         2012/01/01          1.340          R
064101         2012/01/02          1.330          R
064101         2012/01/03          1.320          R
064101         2012/01/04          1.310          R
064101         2012/01/05          1.300          R
064101         2012/01/06          1.290          R
064101         2012/01/07          1.280          R
064101         2012/01/08          1.270          R
064101         2012/01/09          1.270          R
064101         2012/01/10          1.260          R
064101         2012/01/11          1.250          R
064101         2012/01/12          1.240          R
064101         2012/01/13          1.240          R
064101         2012/01/14          1.230          R
064101         2012/01/15          1.220          R
064101         2012/01/16          1.220          R
064101         2012/01/17          1.210          R
064101         2012/01/18          1.200          R
064101         2012/01/19          1.190          R
064101         2012/01/20          1.190          R
064101         2012/01/21          1.180          R
064101         2012/01/22          1.170          R
064101         2012/01/23          1.160          R
064101         2012/01/24          1.230          J
064101         2012/01/25          1.290          R
064101         2012/01/26          1.220          R
064101         2012/01/27          1.180          R
064101         2012/01/28          1.150          R
064101         2012/01/29          1.120          R
064101         2012/01/30          1.110          R
064101         2012/01/31          1.090          R
064101         2012/02/01          1.080          R
064101         2012/02/02          1.070          R
064101         2012/02/03          1.060          R
064101         2012/02/04          1.050          R
064101         2012/02/05          1.040          R
064101         2012/02/06          1.030          R
064101         2012/02/07          1.030          R
064101         2012/02/08          1.020          R
064101         2012/02/09          1.010          R
064101         2012/02/10          1.010          R
064101         2012/02/11          0.999          R
064101         2012/02/12          0.994          R
064101         2012/02/13          0.988          R
064101         2012/02/14          0.983          R
064101         2012/02/15          0.979          R
064101         2012/02/16          0.975          R
064101         2012/02/17          0.971          R
064101         2012/02/18          0.967          R
064101         2012/02/19          0.963          R
064101         2012/02/20          0.960          R
064101         2012/02/21          0.957          R
064101         2012/02/22          0.954          R
064101         2012/02/23          0.951          R
064101         2012/02/24          0.949          R
064101         2012/02/25          0.946          R
064101         2012/02/26          0.943          R
064101         2012/02/27          0.941          R
064101         2012/02/28          0.939          R
064101         2012/02/29          0.936          R
064101         2012/03/01          0.934          R
064101         2012/03/02          0.932          R
064101         2012/03/03          0.929          R
064101         2012/03/04          0.927          R
064101         2012/03/05          0.924          R
064101         2012/03/06          0.922          R
064101         2012/03/07          1.070          R
064101         2012/03/08          1.260          R
064101         2012/03/09          1.460          R
064101         2012/03/10          1.410          R
064101         2012/03/11          1.650          R
064101         2012/03/12          2.160          R
064101         2012/03/13          1.980          R
064101         2012/03/14          1.860          J
064101         2012/03/15          1.770          R
064101         2012/03/16          1.720          R
064101         2012/03/17          1.680          R
064101         2012/03/18          1.930          R
064101         2012/03/19          2.600          R
064101         2012/03/20          4.180          R
064101         2012/03/21          8.080          R
064101         2012/03/22          19.00          R
064101         2012/03/23          21.67          MJ
064101         2012/03/24          17.27          MJ
064101         2012/03/25          14.49          MJ
064101         2012/03/26          10.84          MJ
064101         2012/03/27          8.909          MJ
064101         2012/03/28          7.672          MJ
